cluster_id,pixel_count,area_ha,annual_rainfall_mean,annual_rainfall_p25,annual_rainfall_p50,annual_rainfall_p75,aspect_cos_mean,aspect_cos_p25,aspect_cos_p50,aspect_cos_p75,aspect_sin_mean,aspect_sin_p25,aspect_sin_p50,aspect_sin_p75,canopy_height_max_mean,canopy_height_max_p25,canopy_height_max_p50,canopy_height_max_p75,canopy_height_mean,canopy_height_p25,canopy_height_p50,canopy_height_p75,canopy_height_std_mean,canopy_height_std_p25,canopy_height_std_p50,canopy_height_std_p75,distance_to_water_mean,distance_to_water_p25,distance_to_water_p50,distance_to_water_p75,elevation_mean,elevation_p25,elevation_p50,elevation_p75,nirv_amplitude_annual_mean,nirv_amplitude_annual_p25,nirv_amplitude_annual_p50,nirv_amplitude_annual_p75,nirv_amplitude_semi_mean,nirv_amplitude_semi_p25,nirv_amplitude_semi_p50,nirv_amplitude_semi_p75,nirv_mean_mean,nirv_mean_p25,nirv_mean_p50,nirv_mean_p75,nirv_phase_annual_cos_mean,nirv_phase_annual_cos_p25,nirv_phase_annual_cos_p50,nirv_phase_annual_cos_p75,nirv_phase_annual_sin_mean,nirv_phase_annual_sin_p25,nirv_phase_annual_sin_p50,nirv_phase_annual_sin_p75,nirv_phase_semi_cos_mean,nirv_phase_semi_cos_p25,nirv_phase_semi_cos_p50,nirv_phase_semi_cos_p75,nirv_phase_semi_sin_mean,nirv_phase_semi_sin_p25,nirv_phase_semi_sin_p50,nirv_phase_semi_sin_p75,nirv_residual_variance_mean,nirv_residual_variance_p25,nirv_residual_variance_p50,nirv_residual_variance_p75,nirv_trend_mean,nirv_trend_p25,nirv_trend_p50,nirv_trend_p75,slope_mean,slope_p25,slope_p50,slope_p75,vh_iqr_mean,vh_iqr_p25,vh_iqr_p50,vh_iqr_p75,vh_p10_mean,vh_p10_p25,vh_p10_p50,vh_p10_p75,vh_p50_mean,vh_p50_p25,vh_p50_p50,vh_p50_p75,vh_p90_mean,vh_p90_p25,vh_p90_p50,vh_p90_p75,vv_iqr_mean,vv_iqr_p25,vv_iqr_p50,vv_iqr_p75,vv_minus_vh_median_mean,vv_minus_vh_median_p25,vv_minus_vh_median_p50,vv_minus_vh_median_p75,vv_p10_mean,vv_p10_p25,vv_p10_p50,vv_p10_p75,vv_p50_mean,vv_p50_p25,vv_p50_p50,vv_p50_p75,vv_p90_mean,vv_p90_p25,vv_p90_p50,vv_p90_p75
0,14621,146.21,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,0.0018493889748847022,-0.6560590289905113,6.123233995736759e-17,0.6560590289905113,0.17823432237539086,-0.5000000000000001,0.3583679495452991,0.8664446317631217,11.954053994656615,11.000000000000002,12.000000000000004,14.000000000000005,10.990333956214583,9.000000000000002,11.000000000000002,13.000000000000002,0.8600095427793985,0.4808358834795735,0.6732632045068156,1.1418887424817963,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,263.87419127619114,260,264,268.00000000000006,0.043390351156329325,0.03295848184267217,0.04223349954290263,0.05250853559599922,0.01736029891803161,0.009654399580731787,0.015507927335641889,0.023546795689767322,0.1213333873112004,0.10062109331739746,0.1220799648510386,0.1435607532387458,-0.6580100683488577,-0.8867461688727459,-0.7303448832618975,-0.48768111344333226,-0.6349385525429142,-0.8714221203304843,-0.6838145132244018,-0.4569021939062704,0.19232746132230774,-0.23831723643128286,0.3005519960146315,0.7068232346959926,-0.6495570295436528,-0.9568417446961531,-0.816496314270307,-0.5197649718110053,0.0014433376894803871,0.0009166423537785345,0.0012839319849683594,0.0017688031889154564,0.007602955513241834,0.003676613950740906,0.007070555925153108,0.011464784513266178,3.572276572277115,2,2.9999999999999982,5,5.451769945062478,5.031169122809341,5.343937974791407,5.718490339649782,-17.37736459077532,-18.31158839462237,-17.188160980495613,-16.186150511526893,-14.472795285230642,-15.310783590322824,-14.311655868381836,-13.438274194253884,-11.925594645712868,-12.810741576494628,-11.812793032540998,-11.06155895113722,5.13877130834996,4.7201489753147925,5.03226548888266,5.404754308476896,5.932844048492349,5.438091908775817,5.813553119173488,6.307645747244708,-11.197218456313164,-12.060867126092203,-11.063050091947005,-10.18684370005911,-8.539951236738357,-9.436210685439717,-8.437232532740605,-7.687729352722622,-6.058447147963161,-6.934937517126029,-6.061340328557315,-5.1900931052731245
1,15040,150.4,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,0.05935646577794077,-0.6560590289905115,6.123233995736762e-17,0.7986355100472912,0.09767564420307746,-0.559192903470746,5.10352621808961e-17,0.7547095802227665,13.129876556944284,12,12.999999999999998,15,12.20408231142699,11,11.999999999999998,14.000000000000002,0.7788318431708415,0.45175395145261965,0.6740101796406233,0.9467444195965735,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,240.58297303867738,235,241.00000000000009,246,0.044151008673230525,0.03345788064725691,0.04321097092409437,0.05395532565267992,0.015306728503549203,0.008673622112941174,0.013797282854558961,0.020393448334012087,0.12131599804659908,0.10063478665813162,0.12403674705026063,0.14556385641990666,-0.5281534955144607,-0.7537200339224417,-0.558544916102452,-0.34746646658473646,-0.7576675961709517,-0.9338336444555562,-0.8243726406923837,-0.6525933527023802,0.11644592490611179,-0.41841028995729923,0.1525524629732019,0.715170314904057,-0.537935275880737,-0.9490162765418183,-0.7616414913275974,-0.33278199205019593,0.0012872641903841043,0.0007936799920382425,0.0011596874426094363,0.0015237453471129085,0.006899810253342277,0.0034534630750397725,0.006361121369025071,0.010223504900697308,3.578398579822828,2,2.9999999999999987,5,5.510312512069655,5.094328842929454,5.406790801982612,5.780823536415027,-17.484914340920298,-18.31311468589979,-17.31559848461375,-16.439756737598884,-14.545818024573158,-15.313241859268016,-14.4380777532547,-13.565012459648509,-11.974601828850682,-12.81277752578701,-11.93562635377265,-11.064966981605107,5.168796261813403,4.718490494677561,5.030440507713255,5.407220963414289,6.026942460527416,5.563997765745918,5.937001965284627,6.43578806680777,-11.185432839188955,-11.937086236031332,-11.064077622685655,-10.313875815455193,-8.518875564045635,-9.313402217186987,-8.435332112139497,-7.6899453597752245,-6.016636577375499,-6.939156296641488,-6.063891838322968,-5.188394442242534
2,15707,157.07,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,0.4125052532447677,6.123233995736759e-17,0.6560590289905118,0.8983841767143877,-0.24196841841099856,-0.8191520442889936,-0.4383711467890773,0.275637355816998,12.327823026214308,11,12.000000000000002,14.000000000000002,11.346649691127794,10.000000000000002,11.000000000000002,13,0.8385865582373806,0.4802291945913085,0.6728883694665667,1.0674803019484684,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,253.74099949887955,247.99999999999997,253.99999999999994,260,0.0603853028918958,0.049565500185681274,0.06077612622255963,0.0710447976040062,0.0318128440229637,0.025140650092003943,0.03297082466897202,0.03929512012113376,0.10742478083138285,0.08882525914226731,0.1044803332997714,0.12591962291168382,-0.8750222289175618,-0.9570447966750024,-0.918125856383871,-0.8553117315076672,-0.4077291671443963,-0.519906459152942,-0.39465264789379034,-0.277465050840344,0.33880523194421325,0.11346446895740307,0.3632509348038681,0.5894218913411106,-0.8531355669090173,-0.9885340618881314,-0.9259403314605261,-0.8008086334367231,0.001550799937637512,0.0011637498424476311,0.0015241175181609447,0.001890689852289208,0.01522321775386199,0.011249205406382563,0.015144373185758358,0.01903020391569382,4.120885577051041,3.0000000000000004,4,6,5.196372915174833,4.908139771676026,5.156281816787398,5.4046601701972925,-16.378975854970964,-16.936350421056364,-16.18661799375053,-15.561339495151387,-13.599813235601593,-14.156259992814968,-13.467825585831463,-12.906581830576311,-11.182602939796105,-11.781085288565837,-11.092572089125726,-10.531582028795217,4.961247075125604,4.6562711319303265,4.906444618410875,5.217077874725542,5.254916827663461,4.906253674812858,5.218909983871374,5.530195879810752,-10.940427425168815,-11.43410898231359,-10.937476849084502,-10.314963844404657,-8.344896407938126,-8.810385601482853,-8.311524156064873,-7.812666034413967,-5.979180350043217,-6.561848191840362,-5.93788750748286,-5.437133647808126
3,19513,195.13,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,-0.08431580410615791,-0.6560590289905114,-0.10452846326765367,0.40673664307580054,0.5116960953213098,0.19080899537654478,0.7547095802228048,0.9612709906651163,11.009736761878512,9,11.000000000000002,13.000000000000002,9.874120762428127,8,10.000000000000002,12.000000000000002,0.9038046576414628,0.4807295902938701,0.7372156046022473,1.1974389496351583,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,251.8621201610948,245,251.99999999999997,257.99999999999994,0.06418008871523373,0.053955166371042564,0.06469862076655823,0.07494497197884646,0.03225691912530854,0.02613806453203918,0.03344225409023581,0.03930762558212297,0.09876526946975302,0.08108552472835186,0.09468573269823392,0.11228342902492587,-0.8993343595687919,-0.9647931829586714,-0.9337108419188324,-0.8790549107796152,-0.3730394883888518,-0.4805670800226952,-0.363248084729142,-0.2538525612636977,0.49090238205472836,0.30062801985177,0.5348827227674063,0.7225851393742386,-0.7900997018543867,-0.9493130551971278,-0.8398012094290733,-0.6915458752909492,0.001407818033793465,0.0010059094858060294,0.0013128168014548084,0.0017378635370101025,0.015338962914792158,0.011219296853967506,0.01513960083480372,0.019024110181493033,3.944237547476722,2,4,5,5.325732021764376,4.9703686804354845,5.218413175770359,5.530878406698233,-17.176017748418676,-17.811782012741258,-16.938726681236123,-16.187168073289833,-14.319498980050525,-14.935844586983801,-14.188350540451992,-13.439051278495011,-11.850285726654239,-12.40741930433268,-11.719202777268885,-11.093674939182579,5.014811818443827,4.718490512707129,4.9684905641233685,5.218025342084381,5.286152997667889,4.96961384647042,5.280634620238367,5.5305414108023285,-11.652976322146708,-12.185292842329734,-11.438573706968876,-10.938623007772284,-9.033345982382604,-9.561625695404263,-8.936442144843575,-8.313819861985769,-6.638164503702833,-7.187739531892247,-6.560530386095397,-6.06138831745324
4,10229,102.29,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,0.18166253420895728,-0.45399049973954675,0.3255681544571564,0.8294556286196729,0.016732449810080156,-0.6691306063588583,3.6976792256579955e-17,0.7547095802227667,4.695804914502662,2,5,7.000000000000001,3.282176512872477,1,3.0000000000000004,4.999999999999999,0.9013769648642815,0.4163349678379007,0.7857654484437467,1.2864107977933124,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,260.1509518542373,255,260.99999999999994,265,0.06944077158359974,0.06322405471576156,0.07055880681460579,0.07738600888398516,0.036875685340140026,0.03198291465336839,0.037854315263317236,0.042239738521336466,0.08040938818988964,0.06785665681690833,0.07864283716535671,0.09033746960323882,-0.9487450980160008,-0.988426930910854,-0.9649314843713058,-0.9257081202912506,-0.26651584195057426,-0.3709338256550817,-0.2697183363212758,-0.15286594093536957,0.5140816822705494,0.37109272365247403,0.5118116879811448,0.6680014205984083,-0.8206377139298296,-0.9256174816181238,-0.8555863579145618,-0.7462846340499892,0.0015767310902572546,0.0009010905718947788,0.001481074741982327,0.0021815286067254644,0.01787053893744363,0.012444858683174697,0.018308279158433655,0.023688994019649853,4.064961816064655,2,4,5.999999999999997,5.365208788897707,4.922745034500338,5.201263979610027,5.609832878894024,-17.012722137174634,-17.845038732348037,-16.531182964116656,-15.844314602340932,-14.142947072836177,-14.904818560745442,-13.783399650553385,-13.157833236563091,-11.647513348276942,-12.343878751645674,-11.405845633627152,-10.781660149226896,5.04557291367327,4.701476377910735,4.95209988300716,5.263910519332857,5.0884033150835055,4.76562002311312,5.015100467013563,5.360390773714241,-11.68660381022164,-12.345346623987966,-11.406542259619155,-10.781436437471402,-9.054543757752654,-9.71925487363547,-8.842912103414777,-8.281504692075579,-6.641030896548335,-7.283640896506887,-6.468820014083137,-5.90614272822904
5,21643,216.43,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,0.0288272147821544,-0.6560590289905107,6.123233995736755e-17,0.7071067811865472,0.1668734718241649,-0.5,0.2756373558169978,0.7547095802228064,15.2109209941217,14,15,17,14.584017752069267,12.999999999999998,15,16,0.550997880597396,0.4160228834928003,0.4805118596163544,0.6727092398891539,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,243.03277073478858,238.99999999999972,241.99999999999994,247.00000000000003,0.05576613512239868,0.046624780735510685,0.054452142100056986,0.06371801402775923,0.0259795836663235,0.01880103076517846,0.026124902279728638,0.03297519000702197,0.13324085176243583,0.11230660949690002,0.13374876009916795,0.15331310935261297,-0.7293770785165471,-0.8786804208841251,-0.7770037766975703,-0.6287748515133663,-0.6196976396939629,-0.7774362075232671,-0.6291860621759513,-0.4806339224556555,0.24542320131520615,-0.04293207045435257,0.22251039988265317,0.5583850633336438,-0.8211531458087283,-0.9884988540818734,-0.9491497313795567,-0.793289693043751,0.0015884958881310538,0.0012840556287486056,0.0015248337792272127,0.001887547978125887,0.012425554974686689,0.00829587100878516,0.012197163570268397,0.017070277009451063,3.4095876766633153,2,3,5,5.189875375090182,4.907035481925278,5.1561929654540375,5.469190112881266,-16.418586062108105,-16.937116057255096,-16.314083315278626,-15.688009291086209,-13.643033947748632,-14.156591826784844,-13.531447999967167,-13.031141289773748,-11.228710687017932,-11.718409342824984,-11.156390888755649,-10.655364151497231,4.900924229704961,4.656943600568521,4.8444901527310735,5.155877621942651,5.349738953016985,5.015437598746401,5.3281191795379375,5.639879545431549,-10.86336643468258,-11.309762859702039,-10.812086443110173,-10.311968716576404,-8.29329499473158,-8.719026011724985,-8.218423175788018,-7.78254214731529,-5.962442204977619,-6.4370164733714805,-5.936843106964445,-5.4391277291179945
