cluster_id,pixel_count,area_ha,A00_mean,A00_p25,A00_p50,A00_p75,A01_mean,A01_p25,A01_p50,A01_p75,A02_mean,A02_p25,A02_p50,A02_p75,A03_mean,A03_p25,A03_p50,A03_p75,A04_mean,A04_p25,A04_p50,A04_p75,A05_mean,A05_p25,A05_p50,A05_p75,A06_mean,A06_p25,A06_p50,A06_p75,A07_mean,A07_p25,A07_p50,A07_p75,A08_mean,A08_p25,A08_p50,A08_p75,A09_mean,A09_p25,A09_p50,A09_p75,A10_mean,A10_p25,A10_p50,A10_p75,A11_mean,A11_p25,A11_p50,A11_p75,A12_mean,A12_p25,A12_p50,A12_p75,A13_mean,A13_p25,A13_p50,A13_p75,A14_mean,A14_p25,A14_p50,A14_p75,A15_mean,A15_p25,A15_p50,A15_p75,A16_mean,A16_p25,A16_p50,A16_p75,A17_mean,A17_p25,A17_p50,A17_p75,A18_mean,A18_p25,A18_p50,A18_p75,A19_mean,A19_p25,A19_p50,A19_p75,A20_mean,A20_p25,A20_p50,A20_p75,A21_mean,A21_p25,A21_p50,A21_p75,A22_mean,A22_p25,A22_p50,A22_p75,A23_mean,A23_p25,A23_p50,A23_p75,A24_mean,A24_p25,A24_p50,A24_p75,A25_mean,A25_p25,A25_p50,A25_p75,A26_mean,A26_p25,A26_p50,A26_p75,A27_mean,A27_p25,A27_p50,A27_p75,A28_mean,A28_p25,A28_p50,A28_p75,A29_mean,A29_p25,A29_p50,A29_p75,A30_mean,A30_p25,A30_p50,A30_p75,A31_mean,A31_p25,A31_p50,A31_p75,A32_mean,A32_p25,A32_p50,A32_p75,A33_mean,A33_p25,A33_p50,A33_p75,A34_mean,A34_p25,A34_p50,A34_p75,A35_mean,A35_p25,A35_p50,A35_p75,A36_mean,A36_p25,A36_p50,A36_p75,A37_mean,A37_p25,A37_p50,A37_p75,A38_mean,A38_p25,A38_p50,A38_p75,A39_mean,A39_p25,A39_p50,A39_p75,A40_mean,A40_p25,A40_p50,A40_p75,A41_mean,A41_p25,A41_p50,A41_p75,A42_mean,A42_p25,A42_p50,A42_p75,A43_mean,A43_p25,A43_p50,A43_p75,A44_mean,A44_p25,A44_p50,A44_p75,A45_mean,A45_p25,A45_p50,A45_p75,A46_mean,A46_p25,A46_p50,A46_p75,A47_mean,A47_p25,A47_p50,A47_p75,A48_mean,A48_p25,A48_p50,A48_p75,A49_mean,A49_p25,A49_p50,A49_p75,A50_mean,A50_p25,A50_p50,A50_p75,A51_mean,A51_p25,A51_p50,A51_p75,A52_mean,A52_p25,A52_p50,A52_p75,A53_mean,A53_p25,A53_p50,A53_p75,A54_mean,A54_p25,A54_p50,A54_p75,A55_mean,A55_p25,A55_p50,A55_p75,A56_mean,A56_p25,A56_p50,A56_p75,A57_mean,A57_p25,A57_p50,A57_p75,A58_mean,A58_p25,A58_p50,A58_p75,A59_mean,A59_p25,A59_p50,A59_p75,A60_mean,A60_p25,A60_p50,A60_p75,A61_mean,A61_p25,A61_p50,A61_p75,A62_mean,A62_p25,A62_p50,A62_p75,A63_mean,A63_p25,A63_p50,A63_p75
0,5225,52.25,0.05056514111252398,0.02639055712435976,0.04985227275994294,0.07133739673045614,-0.24988508103892174,-0.27438068039815533,-0.24895488981932276,-0.22373559511267102,0.1753912056866788,0.13968196154595997,0.17264938041021213,0.21186346457053373,0.021000590469058028,-0.0013881713928369417,0.020974466183046245,0.04242727156221967,0.002178728447793643,-0.016161857825993994,0.00046656292601323046,0.018019832115852872,0.03583443039661351,0.001476675637575292,0.03662128635600378,0.06889434944196492,0.0039006071024479064,-0.020554656126750847,0.004931974573120843,0.03017565334188533,0.18475006818008466,0.16517382987974977,0.18466320446139983,0.2079601403313507,-0.21275145238111368,-0.23303805261618724,-0.21622547333346823,-0.19486106862098643,0.0009375049541544869,-0.03210084575631667,-0.001043462619564373,0.030217327496041634,0.1753869564029238,0.1474087439702865,0.17670611142682197,0.20422543086775843,0.03391918669024839,0.010258189307034565,0.03466977657734216,0.05515757342746963,-0.3158307905957897,-0.335605253336727,-0.319152227761102,-0.2974465408421258,-0.13116419428333137,-0.15083956719942881,-0.13137181670053646,-0.11182291193363858,0.06744323243179856,0.03420897837086352,0.06736754140015556,0.10265723259834832,0.011161341325762275,-0.007291699874639479,0.015182412358882942,0.03460569464233213,-0.1826241529094655,-0.20270456893853256,-0.18501176076262588,-0.16464156784752818,-0.04759775412010516,-0.07120260463953496,-0.04403614005510429,-0.018628852964282547,-0.08968604105589847,-0.10700462951166213,-0.0893597319835844,-0.07078295547125203,-0.09160964137240897,-0.129934602706842,-0.0928289543950271,-0.05374670407726433,-0.1835815308581326,-0.21824058384308942,-0.18604973560893526,-0.14690400509195647,0.24798932152038214,0.2216723011043498,0.25087789472864197,0.2763691754569298,0.0757058520887128,0.041899187025385594,0.08120164028246313,0.1123981147735014,-0.11444093564818592,-0.13591740567519114,-0.11425043458062296,-0.09271940711079814,0.10429916266636739,0.092898817631037,0.11034098459811698,0.126052973699289,0.21463379131161048,0.18838236606436093,0.22166540750897254,0.2490627975580924,0.028138385713181845,0.00926262334999359,0.02584483279550029,0.04542214090955292,-0.03429719264702176,-0.057586762361604406,-0.03418149378032683,-0.01081296817192088,-0.0044253878756348244,-0.026856006407251946,-0.007303072757366527,0.01510298789565181,0.1031712359318898,0.08308850182306703,0.10254712114459583,0.12199334339615799,0.002369522225984352,-0.020479090229144552,0.0008935728591064765,0.024418913049886155,-0.013324486890802413,-0.03957136370409286,-0.014168665701907779,0.012143987088299365,0.04791334875579712,0.012803569140074326,0.04982929642445214,0.08298725990530517,-0.012559907392987398,-0.031788999259742254,-0.013140400545244834,0.0062549196478278975,0.11867928030114813,0.09288597205080325,0.12397139201971354,0.149419258653263,0.1164357577417677,0.06932718185313338,0.11230624298796461,0.16305247915128612,-0.1436653409024943,-0.16858448826153558,-0.14498636644240584,-0.12057610978026204,-0.1189080509265233,-0.14697354164482193,-0.1196319811029661,-0.08942615759224755,-0.04411238775325168,-0.07910717608066166,-0.041970183255352775,-0.006763984596735179,-0.03442697601070165,-0.07519588953863136,-0.03418669587066357,0.00496211569631585,0.058135778185323325,0.030395411921345823,0.06159822067567222,0.09086189741267507,-0.0031845420621500553,-0.02286554132474157,-0.0044128326711948395,0.01711221050599552,-0.15929945532961368,-0.1846600927701371,-0.16095395785248898,-0.13962154333652027,0.1612053589677514,0.13420102096273714,0.165515796650919,0.19182961830423007,0.05390511430350822,0.036274481353819214,0.05378078032634102,0.07328728585,0.15834023627370042,0.14020275602501067,0.16170239165826605,0.18008203700826203,0.028369822114662043,0.001019870072940789,0.03034401757048309,0.05774503386829561,0.16702464451975393,0.13773548635140334,0.163116270880718,0.19246580856405898,-0.11495448415906347,-0.13430797119554191,-0.11473454265841801,-0.096122115428262,-0.01395721117074343,-0.04783346796853489,-0.010663476997727078,0.02244189577810588,-0.0038778859687923052,-0.0282636715894796,-0.0028899595596021655,0.0206294094644729,0.23751164360257856,0.2040851557847284,0.23726675989651766,0.26863931825967835,0.03568928007710788,0.005055398273391352,0.03996372098224365,0.06941085809330996,-0.012282317155895476,-0.04009229778619782,-0.010874099390096032,0.018562498347196546,-0.007005962993441997,-0.02786290986983029,-0.0073480976267002954,0.011216496349709799,-0.16015670799260345,-0.18317709234018534,-0.16155955618539594,-0.13823469215391132,-0.0023817934331469342,-0.01905645826728811,0.00046853762036661923,0.018029841336919702,0.02885489483961092,0.00832049833203236,0.027868646369223066,0.04835257880479214,-0.0809615335437865,-0.10495175848117026,-0.08445696590004265,-0.059151338553997436,0.03747846431463221,0.00539299623693501,0.03855203619909502,0.06693057276166335,0.08467398133781645,0.05960406752242651,0.08503660749924181,0.10455121073242764,0.013966713537390032,-0.010652415328175917,0.01654491742630262,0.03816611059003572,0.053975106786772024,0.026390985343159902,0.05765975313150948,0.08885849333966575,0.03767468383278976,0.0029089230470460124,0.034204506720592116,0.06944220171728825
1,14234,142.34,0.03762438569539889,0.020036409738519445,0.04051971045117057,0.05614679885313364,-0.21298565154855892,-0.22705591202786113,-0.21245627202413983,-0.19685307897878854,0.09333851721946118,0.07564733067224896,0.09229260591824932,0.10886204763385376,0.03683992052888614,0.02490540434232287,0.03760661429710916,0.049327201902072584,0.0011237091802790665,-0.00928036570894355,0.0024600307152160493,0.012201701847760128,-0.011673183409563474,-0.03076551782540039,-0.014155511119103775,0.005382036187209319,-0.04775335905054867,-0.05614208932437871,-0.04837503322191624,-0.039564477285447375,0.2164713125316024,0.20150970767849005,0.21813839501083135,0.23293738163192604,-0.22401621402301328,-0.23593281149425227,-0.2249034865775564,-0.21136186179904376,0.07333355042792906,0.05522218440645669,0.07567568194015285,0.09320894370820232,0.1732870533194503,0.15567914403082034,0.1722990431836814,0.18998722131176787,0.08542251848630557,0.0571366539695463,0.08643293373717138,0.11281209727426066,-0.3103649654471521,-0.32211731101176033,-0.30899020965787183,-0.2987566155411752,-0.15053385313321124,-0.16353385010409818,-0.15182967916027312,-0.1381968554980821,0.04225729748684713,0.02589002675738547,0.04150166461317853,0.05716677121297782,0.02052563058878172,0.0073278446804003325,0.020048669786158137,0.034664169731158836,-0.1671062944568082,-0.18499863330313177,-0.1723971003446978,-0.15379580438943882,-0.021407150074756378,-0.04006483226693089,-0.018595295250322785,0.0009174451999333472,-0.07424832407103264,-0.09031631411100903,-0.07273596728999122,-0.05710644075369106,-0.08428742522980401,-0.11035224314887478,-0.0831227462793891,-0.055655211838623535,-0.29338329565178545,-0.30995587231087857,-0.2954068621955778,-0.2798514165695395,0.28062621677862193,0.2627298608170007,0.2821947480866676,0.30185401955925006,0.12321854973076338,0.10592861942235396,0.12348222926498961,0.1411836251875087,-0.08166663425633101,-0.09910880633724416,-0.08156553199358837,-0.06393023781854615,0.13070744090694916,0.12161605742042662,0.13327986492095817,0.14406957451043312,0.23380304236393779,0.20987594883991256,0.2314048145281938,0.2608402233346647,0.009216951092835666,-0.003451268242965845,0.00830932933863322,0.02003572364163439,0.0009422441457756917,-0.014100135011012324,0.0024769294278567423,0.016097819736421742,0.003173222700529053,-0.009280080278951977,0.005374581296788,0.01708250806662171,0.08705530460365171,0.07372472018024208,0.08739473150014171,0.10004082448674505,-0.05322372577290956,-0.07180277901837666,-0.055203529777924226,-0.03657911361391923,0.03871098410988167,0.02294364342023657,0.03956175200271597,0.05516386926742826,0.13001065380819413,0.10495375138506327,0.13034861599594777,0.15372083041773996,-0.0019514027506815253,-0.01610769858939169,-0.0034184325351273785,0.010260502425924863,0.1513345607460363,0.1323620605950333,0.15195596186560917,0.17220595958831025,0.03098069710631345,0.010296686005775537,0.02782402125814116,0.04838031359242522,-0.11915203767764013,-0.13432467698903677,-0.11867436513896504,-0.10302056800464768,-0.1382087365076346,-0.16455793176173877,-0.13814767147841045,-0.11185141660561129,0.0380373698264708,0.02397401734584333,0.04250055530789218,0.05713791361126326,-0.03070155106531802,-0.05178467557110429,-0.03223292758273948,-0.010747718720237647,0.07608610631600539,0.05417521131612514,0.07667954952888198,0.10011933167219893,0.02214482081379203,0.008314814767871279,0.022971320852002014,0.03662720731444784,-0.12590836812862802,-0.13812651358928824,-0.12564589942644125,-0.11382441193542532,0.177194185661109,0.16254299824162644,0.17924071161441402,0.1938892525405029,0.05749625969529202,0.046410222500469375,0.058110131145389335,0.06983228823083718,0.12515109708852767,0.10203932544091734,0.1273824170190952,0.1470536551648414,0.02219922065936158,-0.002873506197833531,0.020502317685203275,0.043982299334358564,0.15164905233034212,0.11811127898062167,0.14748293082494707,0.18074752081113227,-0.09511269103632808,-0.10985849270304902,-0.09324790929539908,-0.07960261271201705,0.04314522005152047,0.023991632777113865,0.04641999225375725,0.06689269938912384,-0.014726310432326039,-0.030779303048492395,-0.0180614073217383,-0.00046787054040987034,0.19325396600283187,0.1723755916407834,0.19086920627312845,0.21240342234962847,0.09646530514196186,0.08352047857390357,0.09719178224712648,0.10988580371839968,0.006797448392564141,-0.024385506899937924,0.004906626498470926,0.04009607869419699,-0.011628322906031236,-0.026867457289602624,-0.014171498754089079,0.002411043437812231,-0.15949392116359543,-0.17514385391379478,-0.16162310247368597,-0.14403981372133,0.013364794285876568,-0.002423673304376739,0.01121260957320944,0.026847044779737976,-0.018211843753757645,-0.030757414360179768,-0.01905367262426992,-0.007354564104262721,-0.12813239230585188,-0.14110759470356576,-0.13130795881315516,-0.11868168653082135,-0.02502066360599379,-0.04631379033847682,-0.024875898472240098,-0.005399509649568556,0.05562050852155751,0.040551152852954624,0.052222313430048316,0.06882819027490504,-0.010280409111500756,-0.02589576905416483,-0.009274148946651713,0.007337095011526452,0.07242608943730447,0.051773700414853255,0.0732395598474894,0.09277542009286628,0.05644812076173603,0.032707841955676276,0.05420811201412156,0.07961392361050867
2,21240,212.4,0.06924553093895727,0.051265327037503514,0.06983450826593962,0.08740308440854824,-0.25503619840740077,-0.27240722939595546,-0.2529695286875779,-0.23742825189622196,0.1044001225143333,0.08304256665610753,0.10058067085275492,0.12000741311012696,0.027560197030725736,0.0141732138647007,0.028794712656304337,0.042494571755152546,0.034368507564150455,0.021000777483611288,0.034648685475167536,0.047382345229497344,-0.01727184385606909,-0.0400303245632792,-0.020493029817598738,0.001006988213912695,-0.049922707304325,-0.06789713353592394,-0.05224136769156279,-0.0326975457664633,0.2053429848187424,0.18472063279269962,0.21005871268501888,0.23139074232941456,-0.2160365844370089,-0.22983129300727853,-0.2152024048705444,-0.20174498034347874,0.06878657596198662,0.05027737953650705,0.06884079117238892,0.08838421355230355,0.15349863143162526,0.12996286979230567,0.14947109049798885,0.17277610705139324,0.06640982627751318,0.047370437967639595,0.06590189146222522,0.08543610239353379,-0.3343114807702222,-0.34935243602340177,-0.3341206329276465,-0.319140997525451,-0.1549698404869913,-0.16927540101519495,-0.15564329644992422,-0.14114912291727616,0.014246883259081427,-0.004903761543793106,0.01466294271552856,0.03419228766667236,0.000664393411895583,-0.016099328563777698,0.003391348010328103,0.020000438222959174,-0.151810225888984,-0.1714488930618077,-0.1538211679388152,-0.13424156953177757,-0.054485404152210995,-0.07521218609903704,-0.053713039883075596,-0.03223173980197789,-0.05545328271144333,-0.07374380413725737,-0.05223276575012089,-0.03471106243343166,-0.06859105194506322,-0.09476758077821933,-0.06737729502636174,-0.04201897643148863,-0.21881704574659525,-0.24516284940528127,-0.21970063025951606,-0.1943034410317762,0.2477903015280363,0.2314280956053376,0.24908563097001143,0.26658882882263285,0.12992458260995943,0.10839573947716256,0.13578571405178075,0.15536790884287463,-0.1281492070622349,-0.14299159912541573,-0.12851872346011534,-0.11385862718437695,0.11593486347415437,0.10306624002869383,0.1186847046642276,0.13338046288356956,0.2506558439636653,0.23185421285903704,0.25237511072438423,0.2710365297805734,0.00426908829421123,-0.009253918550750247,0.003428567851100982,0.0170423475469046,0.013199748255277657,-0.001458165518933604,0.015113759665086067,0.0297845799151352,0.021688865482778714,0.008307063475575856,0.020984184638429514,0.03467386186290661,0.0773579412107011,0.061550283965724664,0.0771466653636184,0.09276135940184012,-0.01663505224137559,-0.03414162086404339,-0.01659154953464722,-0.0009360713841460105,-0.007848502035008063,-0.027853490236284202,-0.007344566143357237,0.013198709390217585,0.12419713444002026,0.10060042820194377,0.12599613843168295,0.14946974631978907,-0.01431129147829671,-0.030774806487998893,-0.01415072487828002,0.003436993775190043,0.16574958984594493,0.15003305869399583,0.16666434408154848,0.183123613511598,0.025392293609021836,0.0009990868354578244,0.020537849904488852,0.043967392697346036,-0.13782813648994827,-0.1576547146740954,-0.13527796032640194,-0.11574799341328075,-0.14219911976791358,-0.16557148532862473,-0.14215002772463345,-0.11868558788521064,0.017693928510459988,-0.0010205720260432944,0.020495142976197638,0.040020472618564985,-0.08060548191819815,-0.10442822901086875,-0.07905886496763369,-0.05760600873036975,0.03324927402905314,0.0107749109957832,0.034141723804978506,0.0575913934161883,-0.008473780677201993,-0.023944157509060062,-0.007365971396838344,0.00830450974503973,-0.115284186754086,-0.1294804279449556,-0.11582570439508486,-0.10210511052373834,0.2212467794175382,0.20949882832624867,0.22218524962572836,0.23468300228766095,0.07150333649630483,0.059093990420836406,0.07081725688630917,0.08251453953219663,0.10668047421105462,0.08443715867203665,0.10593715256645085,0.1264316914766757,-0.023119217382343384,-0.04150334464828891,-0.02292103876676615,-0.005362789783339561,0.20280452284174236,0.1748366575376555,0.2001286466470892,0.22752384301558692,-0.07547638092406322,-0.09030493516119494,-0.07470250175187969,-0.059079603083954754,0.046459618147601245,0.024412313632763093,0.05174138302320196,0.07322912198617183,-0.03411728206066905,-0.048350261032261165,-0.03566517473475256,-0.021978368848034377,0.1572944521057054,0.1391541574392378,0.15476482155016597,0.1724054032310652,0.07912169656999384,0.06299406556141794,0.08054464306859899,0.09716615280629103,0.013473395357946807,-0.009299301138501201,0.013199039215889998,0.03856605053974348,0.0010830500580208296,-0.01711030089098409,-0.00048215362775903603,0.018057086225315135,-0.19501142200999583,-0.20966638994598868,-0.19568970988433337,-0.1810372241031293,0.0005660940139092044,-0.019010873757069575,-0.0005087126151585894,0.019013507152808404,0.012499589766252575,-0.003403597416095691,0.012242618436578182,0.027829194775749386,-0.10090579902417532,-0.1186315976812611,-0.10303888923786228,-0.08546437917177098,0.046782038292845,0.024464547095546192,0.04588009792471941,0.06929004042033696,0.11028569073709779,0.09135598786345173,0.10989031976669011,0.12840929118480637,-0.02807188779144921,-0.0414872042750721,-0.02784205660426151,-0.014142155712019478,0.010084968758132898,-0.01469149186121202,0.010769899127167342,0.034174102592285586,0.02940110308742833,0.008803969885066909,0.028273683575032148,0.04978855238024381
3,17063,170.63,0.10538153902167943,0.08305013566442103,0.10258530908060942,0.12402513422887428,-0.27353895774424136,-0.2945234496044824,-0.2750375617759361,-0.2547219913774122,0.1293815974880976,0.10648411464926069,0.126099171650247,0.14746979095183202,0.016910343289020184,-0.0004841789369603906,0.019021103983151294,0.03565003661416205,0.05108437911820189,0.03365567429720046,0.050269694704826964,0.06785533064249834,-0.028672426765352307,-0.051226406509049444,-0.031720086344802945,-0.008287185332264453,-0.01773936744754268,-0.04981965786948365,-0.02047638857610156,0.008738560866372449,0.1492977249472364,0.12405893047559699,0.1532955814645286,0.17685439491230445,-0.21566701110590353,-0.23303093046227613,-0.21534759199721532,-0.19685641348693037,0.025284417135832928,0.0029770276642384257,0.026410319368999145,0.0497831068997799,0.15027957231774378,0.12200425514974818,0.14948629557049425,0.17683329348346213,0.05837927331222847,0.04003931531741793,0.059592391679574086,0.07708215969204978,-0.3484559625861582,-0.36490606476827886,-0.350848634257329,-0.3341101659743665,-0.17419837653505826,-0.1929111793215334,-0.1754130817935556,-0.15665398132509833,-0.00031699154141035093,-0.022531521859059843,0.0010017111192954914,0.022468114008059974,-0.036221836528170175,-0.05954572191806302,-0.03219358612500478,-0.008770578915123329,-0.12276416564463362,-0.1474858505863651,-0.12599019659014504,-0.10061982940842688,-0.03929389330521553,-0.06340459865950086,-0.03999196050590921,-0.018542683521980807,-0.041617179550977386,-0.059488233746039,-0.04002600535802258,-0.022470616991303777,-0.04789033167091318,-0.07325324657216185,-0.04786458199467986,-0.022505078080077668,-0.16023075320122201,-0.18641431333298444,-0.16117408599766173,-0.1318690441492259,0.22655314927212394,0.20593282630292487,0.22751142800467936,0.24898431513256625,0.08516831266872044,0.05959813630089039,0.08891768913717794,0.11629050984269329,-0.1313406143247821,-0.14797607771928944,-0.13331136202763166,-0.11673869212634103,0.10999215420334728,0.09517449101781816,0.11178373712405136,0.1265012370907137,0.2588897546461271,0.2419218218009166,0.2619811578058408,0.2791533248760535,0.010906539400346565,-0.0024313791261167477,0.01023793551488666,0.023912013781573344,-0.01254912920457064,-0.028821484126529028,-0.0102394648290789,0.006351000391886712,0.03834439776482101,0.018565412605075562,0.03609491840885711,0.05565982687941496,0.07725071798383579,0.05568746117952641,0.07911194499728842,0.10066435842783454,0.005348136096286356,-0.018606427014946553,0.002891355070197859,0.026315821770218226,-0.03429735031593322,-0.057626065231843444,-0.0361321952473569,-0.012727747583906782,0.07785011831214278,0.05178490316693086,0.0810428199470876,0.10447340269574439,-0.01745966057296376,-0.03956554360401181,-0.018052831109758954,0.004410498274379139,0.1872593736874053,0.16896895720797983,0.18835046684905912,0.20792433764299964,0.03146172267922172,0.006877629349268461,0.02830439263788028,0.053653680228645695,-0.16422216561354916,-0.19042510077474126,-0.16505347718083863,-0.13579662646092458,-0.15213688897752217,-0.17318030624199163,-0.15097785433490188,-0.12945650165090908,0.002390985884141806,-0.018566091493535195,0.0049248890378968645,0.0263707498569666,-0.10253365527548042,-0.12799619880533641,-0.10054246250525534,-0.07518385646543477,0.004595241068001729,-0.01470990528809905,0.004920643797887453,0.024427930126977356,-0.03694243155980137,-0.05714200429345433,-0.03664332714363058,-0.017103153754356927,-0.12576588324815555,-0.14401668900073133,-0.1276063056272564,-0.10795711986389246,0.20708098918681045,0.1918716137675168,0.20957316851931526,0.22432694158880218,0.0917325913588048,0.07768542322549551,0.09129204200612356,0.10591627855998516,0.11353232538730124,0.0923187639421123,0.11179099739851259,0.13336166879944514,-0.028959138894574615,-0.049820674432875856,-0.028317590262073734,-0.008794682065235381,0.20701296330295743,0.17867898361605292,0.20596664661720465,0.23344992908623294,-0.07627545757509056,-0.09424559342896813,-0.07572633800441696,-0.0571096090548858,0.0397137847095112,0.01457926058426029,0.04393070357619721,0.06736820044120809,-0.016093613638976295,-0.03173177395570887,-0.0171291896059,-0.0005081733422596783,0.16156869743403687,0.14120155545204488,0.15759744386007657,0.17730862824709306,0.027833483077818997,0.006800013254434566,0.030284657328592725,0.05178111353185109,0.01606951660085009,-0.003421714301294443,0.01709179176932674,0.036627169861482345,0.018413672733453148,-0.001443668383905453,0.018043577237818097,0.037578665061093156,-0.2122246641077307,-0.2292116141687992,-0.21215901643397497,-0.19679777195626583,0.019831167806286597,0.0014423103711504498,0.019999920508514554,0.037600613971456254,0.012601184472139784,-0.005374883986138551,0.014134412066859604,0.032704682839243444,-0.07232965919735593,-0.09228348011577897,-0.07272547546657042,-0.05417931777992032,0.06019609326207682,0.04053914709318899,0.06200290250120776,0.08251359429167976,0.13949065049530818,0.11960230487044769,0.14016206019993827,0.16063237383766563,0.005197396156673467,-0.008302249872082834,0.005374339556361492,0.02004154792286683,-0.03961503459534211,-0.06921588355780918,-0.036210685319113096,-0.00489817206645646,0.030121000788361343,0.0028915850931658872,0.028313939044363263,0.05570822830906549
4,21662,216.62,0.0515452615643594,0.03662371411905193,0.05319800658492447,0.06785246472912668,-0.22138508912685956,-0.23796862218102036,-0.2203126103044165,-0.20382060049259138,0.08718111497940001,0.06884578628177666,0.0864432730428601,0.1039598670609142,0.03805590146998767,0.027850416616174344,0.03857758341688079,0.048339419301323544,0.02106581897128837,0.010240644924570658,0.02000764145015528,0.030758886227430077,-0.025130456786501113,-0.041502625803953405,-0.026867873055802,-0.011237657549719997,-0.046273541774877115,-0.059591030229567694,-0.04784821042602786,-0.03419715935233662,0.2324302256720202,0.21769255623745426,0.23535803612162792,0.25284641351740844,-0.2379739980031115,-0.24873871414600324,-0.23861849982369482,-0.228191256198973,0.09233043207182598,0.07714896447284991,0.09472075450986751,0.11024034975463472,0.13318772335943035,0.11675371402711884,0.13236202056499954,0.14802767295832048,0.08894654046259931,0.06884731195966155,0.08935081398837096,0.11081620011109705,-0.3019864079221619,-0.314755090576904,-0.30026877259952506,-0.28752287545792726,-0.17196680027437944,-0.1842348008431605,-0.17134550987030253,-0.15969956554738388,0.012864162261981907,0.000470021390418026,0.013206484011941657,0.025869559645398384,0.0069280794310155715,-0.0034152155575370414,0.008285558669275132,0.020020670296370727,-0.15735876252029204,-0.1724260687366517,-0.15971508969565243,-0.14501568993610514,-0.03975380003989552,-0.05958493064913758,-0.040026665191281105,-0.020514470939306743,-0.03701403199257648,-0.05226293877858869,-0.034678875920147526,-0.019064445578938743,-0.06143821014763007,-0.08499429218253503,-0.06153439128034527,-0.038138514645784036,-0.2754543561347468,-0.29792635047111204,-0.2802600705276905,-0.2587608088769088,0.25349226658025037,0.23530043461983796,0.2529463132869984,0.2704666842281024,0.1349529586058278,0.118175769483332,0.13583810817897754,0.15531379874876466,-0.09684842067704665,-0.10977896606861845,-0.09718053531560367,-0.08450880788489594,0.14360888595418955,0.13134445057534028,0.14708831849977386,0.15848616420358935,0.25036636933156947,0.2307382553426428,0.25245428597999126,0.27231037994833335,0.004672501169187537,-0.007314257038806364,0.0034072470393902523,0.017105891673365715,0.017204897119911758,0.006330885133314236,0.019035785863570867,0.029768104511109734,0.010531111783701419,-0.002457716207968067,0.010269345796035825,0.022962979171918998,0.06411180608970962,0.04976743673831397,0.0634588138579395,0.07718602085176736,-0.05831915355104373,-0.07512516078811092,-0.0595579203442991,-0.04397409671497964,0.03590169136892021,0.016134179998933587,0.03663587969869996,0.05710794227125478,0.14706187577692617,0.1254806239798412,0.147969297762422,0.1693681917211328,-0.007381143861783114,-0.02194349001969674,-0.007306965269768044,0.007342858386658391,0.17594765356133163,0.15671717892191875,0.17837106162595168,0.19556638445681068,0.006789754954571821,-0.010725618089656271,0.0029304889223676304,0.020485779053180823,-0.10867367473170121,-0.12350933576044815,-0.10695211417900505,-0.09325899790764752,-0.18021375442510681,-0.2075749897510603,-0.1811725191507833,-0.15571357428210558,0.027564868811127678,0.010738488121575207,0.030245837930088275,0.04790486860333347,-0.0579633607424483,-0.07131720952277822,-0.05763430461523225,-0.04391319144882243,0.05415882292654524,0.03467321600059822,0.054193645985427315,0.07470248522682377,0.012770777061234877,-0.000490750510833421,0.014181329714272706,0.027835187703181514,-0.11921551435355071,-0.1295220063029081,-0.11946156386460896,-0.10888383425082869,0.19442162180977374,0.18123282943943936,0.19384081809544695,0.20656942848093734,0.06857536240914998,0.0571142748696304,0.06785521419174163,0.07862394680545293,0.11830970543926876,0.09815393725666985,0.11669854965046124,0.1363465377383749,-0.009815434056093121,-0.02588960622002935,-0.009252357277577032,0.005357972326607224,0.1695419955941855,0.14548623358717166,0.16697692941762643,0.190509167561902,-0.07262489197157602,-0.08544458457392787,-0.07176876352047228,-0.05913858593411441,0.06139100755064888,0.04737237814515785,0.06495438874701596,0.07958145658330065,-0.03305595181593229,-0.04347746337411134,-0.03367924202736722,-0.02393607472753534,0.1606188151171529,0.1440591944288239,0.1586938472512607,0.1762554476306084,0.08755935315257513,0.07279797331871997,0.08938861902618352,0.10397383457306908,0.005656151216856378,-0.018598980281591043,0.0049389051623250245,0.030232443130654575,-0.01997790004696247,-0.03466883837864122,-0.0219766847980038,-0.007320661657354539,-0.19182736043159931,-0.20647573673664482,-0.19277922405671763,-0.17721477818032277,0.021507038217793862,0.005390778193706256,0.01999639958867059,0.03758188417339114,-0.012039535886995996,-0.024897217253450902,-0.013165049349252061,0.00046404099117049153,-0.12083089863376661,-0.13425944235254675,-0.1225702558365946,-0.11085731767519953,0.008548828753122226,-0.010211895711683884,0.0063447670426803136,0.025897714299438636,0.07817855148657676,0.06203190900634279,0.07864362252720487,0.09422944925119346,-0.028149070381093863,-0.04149957963798415,-0.028790619615056502,-0.01511593398171039,0.023030893572221454,0.0029327945092779088,0.024451063510308974,0.04397839528588859,0.031849779273563555,0.008801277669443174,0.03026062672221738,0.053751283795635096
