cluster_id,pixel_count,area_ha,annual_rainfall_mean,annual_rainfall_p25,annual_rainfall_p50,annual_rainfall_p75,aspect_cos_mean,aspect_cos_p25,aspect_cos_p50,aspect_cos_p75,aspect_sin_mean,aspect_sin_p25,aspect_sin_p50,aspect_sin_p75,canopy_height_max_mean,canopy_height_max_p25,canopy_height_max_p50,canopy_height_max_p75,canopy_height_mean,canopy_height_p25,canopy_height_p50,canopy_height_p75,canopy_height_std_mean,canopy_height_std_p25,canopy_height_std_p50,canopy_height_std_p75,distance_to_water_mean,distance_to_water_p25,distance_to_water_p50,distance_to_water_p75,elevation_mean,elevation_p25,elevation_p50,elevation_p75,ndvi_amplitude_annual_mean,ndvi_amplitude_annual_p25,ndvi_amplitude_annual_p50,ndvi_amplitude_annual_p75,ndvi_mean_mean,ndvi_mean_p25,ndvi_mean_p50,ndvi_mean_p75,ndvi_phase_annual_cos_mean,ndvi_phase_annual_cos_p25,ndvi_phase_annual_cos_p50,ndvi_phase_annual_cos_p75,ndvi_phase_annual_sin_mean,ndvi_phase_annual_sin_p25,ndvi_phase_annual_sin_p50,ndvi_phase_annual_sin_p75,ndvi_residual_variance_mean,ndvi_residual_variance_p25,ndvi_residual_variance_p50,ndvi_residual_variance_p75,ndvi_trend_mean,ndvi_trend_p25,ndvi_trend_p50,ndvi_trend_p75,slope_mean,slope_p25,slope_p50,slope_p75,vh_iqr_mean,vh_iqr_p25,vh_iqr_p50,vh_iqr_p75,vh_p10_mean,vh_p10_p25,vh_p10_p50,vh_p10_p75,vh_p50_mean,vh_p50_p25,vh_p50_p50,vh_p50_p75,vh_p90_mean,vh_p90_p25,vh_p90_p50,vh_p90_p75,vv_iqr_mean,vv_iqr_p25,vv_iqr_p50,vv_iqr_p75,vv_minus_vh_median_mean,vv_minus_vh_median_p25,vv_minus_vh_median_p50,vv_minus_vh_median_p75,vv_p10_mean,vv_p10_p25,vv_p10_p50,vv_p10_p75,vv_p50_mean,vv_p50_p25,vv_p50_p50,vv_p50_p75,vv_p90_mean,vv_p90_p25,vv_p90_p50,vv_p90_p75
0,16035,160.35,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,0.07112040850664168,-0.6560590289905112,6.123233995736755e-17,0.798635510047291,0.1244362882118445,-0.5000000000000001,4.821247758595582e-17,0.7547095802227705,12.225308345593918,11.000000000000002,12.000000000000002,14,11.362787640480223,9.999999999999998,12,13,0.7280018782656551,0.4177333857069062,0.5672143044447495,0.9462903563041919,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,242.33905831453308,236.00000000000003,242.00000000000006,247,0.05577946064731235,0.03856241581760146,0.05225479185203933,0.0698299565279423,0.5080258206182295,0.44913331715216903,0.5273058774033573,0.5894925442556813,-0.7368900453470281,-0.9648478748237465,-0.8551838352403468,-0.6368398265200577,-0.3467677992160809,-0.738066037800929,-0.44211758789725286,-0.019480942963972615,0.01339523801034376,0.01099809704895532,0.013428243751230202,0.015367807348860146,0.017046100383539927,0.006922797455097928,0.016609683159127846,0.02440178114628348,3.601134019233383,2,2.9999999999999982,4.999999999999999,5.53005469401834,5.030907342389824,5.407958314953085,5.779973566036002,-17.3854957607728,-18.315199976424232,-17.05878717163774,-16.061453063341265,-14.438275602428662,-15.312032585107133,-14.187845423834599,-13.312491343644696,-11.855441066754528,-12.689058239358031,-11.686717927020478,-10.815165084432003,5.20774607007132,4.719860143171617,5.030771487384511,5.406868119599717,5.835627513230713,5.311427446629442,5.688343596929629,6.311399004974665,-11.288270261025376,-12.063982922336008,-11.061156071639067,-10.31334224654954,-8.602648089197901,-9.43893450317546,-8.434957052508913,-7.688326985493709,-6.080524190953993,-6.938941406432117,-6.0620711364073365,-5.313814880174462
1,14965,149.65,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,0.38787217110389455,-1.8369701987210644e-16,0.6560590289905117,0.8660254037844254,-0.34964984051901055,-0.8660747118741488,-0.5591929034707452,2.2446172530333075e-17,12.882291146900654,11,12.999999999999998,14,11.959058816085077,10,12,13.999999999999998,0.7966242203829254,0.4806262084339506,0.6727210745499416,1.0264404204476103,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,252.48159600508728,246.9999999999999,252,259,0.0810305101429868,0.05905903537128448,0.08057070139465293,0.10301434091726498,0.48828191874528043,0.4317922250253486,0.490252240794485,0.5526278412190261,-0.9221306517870929,-0.9884803739748766,-0.9651182240204448,-0.9023994129243553,0.15947771429296465,-0.02754089069191169,0.19121768335826944,0.37139908211581324,0.014373038606751987,0.012819170479353766,0.01476356930614145,0.016477427802934548,0.027873969277373404,0.019048029625189977,0.028824500137285214,0.036615700997032666,3.886362576360151,2,4,5,5.202360475910045,4.907976647791708,5.156223008004995,5.468167640026888,-16.48726809487422,-17.06039536387744,-16.31316664620023,-15.689248032789575,-13.704004547042116,-14.280115636275486,-13.594289942243964,-13.029749189124166,-11.284907618964171,-11.842996277709325,-11.21878115329455,-10.594695671736885,4.966414162993633,4.656638169978101,4.90621430914727,5.217043475753512,5.402767867737591,5.031281315629841,5.344213666442125,5.7196829941681795,-10.894641923254373,-11.434474039479085,-10.812704157779862,-10.31441019958857,-8.301236679304534,-8.810314050403814,-8.311441973395628,-7.690947225228418,-5.928227760260762,-6.439774413028766,-5.937023273486183,-5.436317353305406
2,21584,215.84,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,0.015897090279770345,-0.6560590289905113,6.123233995736759e-17,0.6560590289905116,0.2040806429926757,-0.35836794954530066,0.3583679495453031,0.866062225373794,15.534758582774817,14,15,17,14.883897451445781,12.999999999999998,15,16,0.5712461619052598,0.4160040136969963,0.4806142648215779,0.7370090941106635,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,242.56339827687574,238.99999999999972,241.9999999999999,246.00000000000006,0.059260165009582165,0.04050320497794753,0.05518350463559706,0.07370274258996604,0.5774798515478451,0.5292850538819319,0.5840681076222098,0.6309192919315157,-0.891763289325798,-0.9884693062859828,-0.9493658236270704,-0.8711103623944774,-0.027481590806765408,-0.3239965192228433,0.027385274423220748,0.29285043516552606,0.014230678141578624,0.012815406788027712,0.01429035457379917,0.015748029066434174,0.019172588241892538,0.01122034984903669,0.019052501246741127,0.0278345634448045,3.5079886765972574,2,3,4.999999999999999,5.193457482013356,4.907413336097487,5.15650082149171,5.468669935636376,-16.502103689108736,-17.061785225814813,-16.438672812913225,-15.81395332849114,-13.723286239343649,-14.28071970006305,-13.594227847780834,-13.093923745889333,-11.308646207095336,-11.843229349123003,-11.218600658322687,-10.655837390112094,4.893147217368149,4.639389413594688,4.860694919734017,5.110825798330027,5.428693173858729,5.032022048648169,5.342692687168847,5.718724246582291,-10.861258614342555,-11.310460065680166,-10.8119694784616,-10.313041587606127,-8.294593065484918,-8.685436091601321,-8.312926366262822,-7.812387073249144,-5.968111396974421,-6.437177043215398,-5.937111204938013,-5.4388111160086465
3,11460,114.6,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,0.22860001194249796,-0.40673664307580065,0.4067366430757971,0.8660254037844319,-0.039317305608170275,-0.7547095802227666,3.7443351083584176e-17,0.6691306063588588,5.105667708121395,2,5,8,3.642101402111246,1,3.0000000000000004,6.000000000000002,0.9592746105832812,0.4810292951078407,0.8263408250949934,1.330222041747102,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,260.3216906317967,254.99999999999997,262,266,0.11638284948076624,0.10200335094265682,0.12058750332443804,0.13427974693502762,0.3830075952071703,0.3338986393518541,0.3849348496787364,0.4355081248977728,-0.9475453571100119,-0.9974262956676675,-0.9726916782660627,-0.9336806419247698,0.17155108443814507,0.050726715805036356,0.20718690127716274,0.33213338317017643,0.014920330261653925,0.01184968524998253,0.01501482699688144,0.017701282426613358,0.03556530111908515,0.02983420179931566,0.0376107520788495,0.04541686444852859,3.9945315863914472,2,4,5.999999999999999,5.452557358836967,4.969371337668317,5.281184939865702,5.716881461184323,-17.26052364409571,-18.189820187513778,-16.81246844095223,-15.936100090813722,-14.34570202005914,-15.18499079404105,-13.935086458831531,-13.188255786377061,-11.807966285258765,-12.563016938075783,-11.55864299064426,-10.811446615930441,5.105764148722348,4.718759895352494,4.969078899723092,5.343118092537037,5.237664225253407,4.814121548561052,5.062625248323891,5.560738370204382,-11.764461647072709,-12.560792768665046,-11.437543615154267,-10.810726606015942,-9.108037794805751,-9.809766400082326,-8.811222638291547,-8.188692562292262,-6.658697498350318,-7.312975130043397,-6.561991382910828,-5.937986542785547
4,18992,189.92,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,-0.02196306605973531,-0.6560590289905116,6.123233995736759e-17,0.6560590289905114,0.3354480764830979,5.703061682812235e-17,0.6018150231520493,0.9135454576426107,12.406713150725281,10.999999999999998,11.999999999999998,14.000000000000007,11.520895609513008,10.000000000000002,12.000000000000004,13,0.8095686962179616,0.48081599053212826,0.6733007798164017,1.0535460896467508,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,262.06993975832575,256.99999999999994,263,267,0.06847208136509698,0.04834845228005825,0.06593063468475602,0.086424473386343,0.5138530211305733,0.4668287411004979,0.521521547133085,0.5723116594494024,-0.8464227209436129,-0.9805301771393362,-0.9180622771944821,-0.8084852261366596,0.1623520211244129,-0.12137005136931721,0.2615441674855918,0.49600689245753216,0.014508735473726643,0.012334849959170172,0.014778520916062876,0.016470064474086745,0.02066285236318983,0.010741077653471008,0.020487916621902656,0.03225987921915099,3.7848544429861,2,2.999999999999997,5.000000000000001,5.307889112881075,4.9699486087310545,5.219009138141203,5.593079963613104,-16.8737745969882,-17.687532014174874,-16.68916485802803,-15.938497852691045,-14.038812897006855,-14.81002531923126,-13.938546328462097,-13.187772835914119,-11.565885484107126,-12.310827944102067,-11.438838505108405,-10.81483676814748,5.007664923501987,4.656722784856182,4.9058531459392976,5.217705714676726,5.610096248865156,5.093939866782338,5.5310956394146435,6.03094687183133,-11.038140055789658,-11.688186763934855,-10.937482060747335,-10.314133080077225,-8.428716648141837,-9.060026395165645,-8.437608885896841,-7.812899795682911,-6.03047513228766,-6.684706217742221,-6.062396342265683,-5.4412882043321655
5,13712,137.12,760.7537962719798,760.7537962719798,760.7537962719798,760.7537962719798,-0.09173861147185741,-0.6560590289905112,-0.17364817766693008,0.4067366430757964,0.5069208863867993,0.22495105434386523,0.7547095802227761,0.9613123452017587,9.999250326137654,9,10,12,8.65994291853348,7,9,11,1.0132109763301806,0.48060522090761554,0.8742227994422298,1.3275154027636245,463409.50001051987,463409.50001051987,463409.50001051987,463409.50001051987,250.59208236360237,245,250,256,0.10756671722692805,0.09127805021454301,0.1098718684717155,0.12644319467239598,0.40956053485637745,0.3651265066596867,0.41602245083289774,0.4629175523594297,-0.9549641281186145,-0.9973793647992418,-0.972761099904738,-0.9415782384188708,0.16888235863414897,0.042872621460747974,0.19152657673556844,0.3165671355920584,0.013976110878225676,0.012083037481570259,0.014288821287778971,0.01623190410386648,0.036436615596002704,0.02883731895192988,0.036636646827812175,0.04344699300690436,3.923836094348217,2,4,5,5.3518727231313905,4.96987074403647,5.280349798016609,5.59321190623703,-17.413971947768733,-18.057866919937428,-17.188496314203935,-16.563113103198106,-14.544987428560695,-15.09252332066834,-14.408671291502056,-13.784548362641196,-12.062099224637373,-12.655539132898143,-11.969568609250203,-11.343091816589157,5.050051974147624,4.718886820266833,4.9681070469572,5.280800525740107,5.303186748100033,4.969036546300133,5.281301336000152,5.593771342747934,-11.874585439006243,-12.311597200566169,-11.686848995433246,-11.189737215281088,-9.241800680460763,-9.685311044220366,-9.060694306954712,-8.562303721975049,-6.824533464858662,-7.312343056941062,-6.686683986503874,-6.18874509471683
