plot_key,lat6,lon6,district,block,habitation,site_polygon,n_records,n_trees,loreys_h_m,loreys_h_tree_m,h_top5_m,crown_cover_pct,sal_ba_frac,n_species,dbh_mean_cm,no_tree_record,sp_ba_json,v120_3ha_merged_id,v120_3ha_merged_cluster,v120_3ha_merged_area_ha,v120_3ha_merged_bdist_m,v120_3ha_snic_id,v120_3ha_snic_cluster,v120_3ha_snic_area_ha,v120_3ha_snic_bdist_m,v120_3ha_dissolved_id,v120_3ha_dissolved_cluster,v120_3ha_dissolved_area_ha,v120_3ha_dissolved_bdist_m
18.577832_82.83856,18.577832,82.83856,KORAPUT,SEMILIGUDA,HANDAPUR,,35,18,4.3921811906816215,4.538355342136855,5.0,23.0,0.0,8,9.584664350645252,False,"{""acacia catechu"": 5.093, ""albizia lebbeck"": 151.038, ""anacardium semecarpus"": 212.074, ""buchanania lanzan"": 303.588, ""cassia fistula"": 49.736, ""cipadessa baccifera"": 26.42, ""emblica officinal"": 53.794, ""lantana camara"": 9.708, ""mangifera indica"": 99.631, ""shrub4 badari"": 3.979, ""syzygium cumini"": 353.165, ""termanalia chebula"": 114.91, ""ziziphus oenoplia"": 0.318}",240.0,1.0,2.988925408960374,7.730014862081557,-1295705327.0,1.0,0.9729049899919162,7.730014862081557,315.0,1.0,26.92614072671071,5.990494388949236
18.578127_82.840014,18.578127,82.840014,KORAPUT,SEMILIGUDA,HANDAPUR,,29,14,4.917462063113924,4.979239901837237,5.2,18.0,0.0,5,11.91388431145045,False,"{""albizia lebbeck"": 184.62, ""anacardium semecarpus"": 290.458, ""bixa orellana"": 5.093, ""cipadessa baccifera"": 10.265, ""holarrhena antidysenterica"": 118.57, ""lantana camara"": 7.082, ""mangifera indica"": 1520.407, ""shrub4 badari"": 1.989, ""syzygium cumini"": 7.082, ""termanalia chebula"": 290.617, ""ziziphus oenoplia"": 2.308}",256.0,0.0,2.7482003853242922,2.766904498532389,343470872.0,0.0,0.511526098650403,2.766904498532389,318.0,0.0,6.847410417486216,24.071072299568538
18.578158_82.833453,18.578158,82.833453,KORAPUT,SEMILIGUDA,HANDAPUR,,34,20,8.106822705771053,8.180962222987718,9.0,48.0,0.0,7,14.164789935178685,False,"{""anacardium semecarpus"": 80.612, ""bauhinia vahlii"": 0.318, ""cassia fistula"": 35.094, ""cipadessa baccifera"": 11.937, ""emblica officinal"": 42.096, ""lantana camara"": 1.989, ""mangifera indica"": 3697.965, ""pandaka"": 22.998, ""shrub4 badari"": 3.899, ""syzygium cumini"": 154.221, ""termanalia chebula"": 71.62, ""terminalia bellirica"": 81.487, ""ziziphus oenoplia"": 1.432}",219.0,1.0,1.3640789039453736,8.33407363211733,-1103715730.0,1.0,0.481439865566275,8.33407363211733,315.0,1.0,26.92614072671071,7.404682274952305
18.57816_82.833364,18.57816,82.833364,KORAPUT,SEMILIGUDA,HANDAPUR,,15,10,5.72679429872649,5.757739011458868,6.0,23.0,0.0,6,10.313240312354818,False,"{""acacia auriculiformis"": 204.037, ""albizia lebbeck"": 95.573, ""bixa orellana"": 58.012, ""diospyros melanoxylon"": 80.612, ""mangifera indica"": 369.399, ""pterocarpus marsupium"": 0.716, ""schleichera oleosa"": 1.989, ""syzygium cumini"": 133.213}",219.0,1.0,1.3640789039453736,0.7518884704633888,-1103715730.0,1.0,0.481439865566275,0.7518884704633888,314.0,2.0,0.4539696463443567,1.3037085409514508
18.578309_82.834858,18.578309,82.834858,KORAPUT,SEMILIGUDA,HANDAPUR,,34,17,9.87677640153211,9.93207626524604,10.4,38.0,0.0,6,20.259488050050678,False,"{""albizia lebbeck"": 208.811, ""bauhinia vahlii"": 0.716, ""cipadessa baccifera"": 27.375, ""emblica officinal"": 116.183, ""lantana camara"": 2.865, ""mangifera indica"": 7096.958, ""mimosa rubicaulis"": 1.989, ""shrub4 badari"": 9.947, ""syzygium cumini"": 81.487, ""termanalia chebula"": 182.551, ""terminalia bellirica"": 260.775, ""ziziphus oenoplia"": 9.072}",225.0,5.0,2.9989636042098704,3.577127730367472,1472960741.0,5.0,0.8124284802783008,3.577127730367472,312.0,5.0,2.931871705308008,5.488127980406741
18.578415_82.837159,18.578415,82.837159,KORAPUT,SEMILIGUDA,HANDAPUR,,10,5,5.6859709202219255,5.735658914728683,5.8,28.0,0.0,4,9.803944494460755,False,"{""aegle marmelos"": 0.716, ""anacardium semecarpus"": 42.096, ""diospyros montana"": 86.66, ""emblica officinal"": 28.727, ""grewia eriocarpa"": 2.308, ""hadjam"": 253.136, ""pitamari"": 1.989, ""tree tendka"": 0.318}",240.0,1.0,2.988925408960374,19.186540829442787,2070763712.0,1.0,1.374103328406374,1.5630994222583192,315.0,1.0,26.92614072671071,66.73931282861423
18.57855_82.839376,18.57855,82.839376,KORAPUT,SEMILIGUDA,HANDAPUR,,17,9,5.490962228678859,5.605573136427568,6.2,38.0,0.0,6,10.751800599985819,False,"{""albizia lebbeck"": 223.533, ""bauhinia vahlii"": 5.093, ""bixa orellana"": 221.623, ""buchanania lanzan"": 5.093, ""cassia florid"": 35.094, ""cipadessa baccifera"": 5.093, ""other"": 1.273, ""pterocarpus marsupium"": 88.251, ""schleichera oleosa"": 86.58, ""syzygium cumini"": 3.581, ""terminalia bellirica"": 255.285, ""tree tendka"": 0.716}",256.0,0.0,2.7482003853242922,38.072524508889316,1949445677.0,0.0,0.6017958024444097,11.100993841406677,318.0,0.0,6.847410417486216,46.639013285320125
18.578663_82.834354,18.578663,82.834354,KORAPUT,SEMILIGUDA,HANDAPUR,,35,19,4.539495791174219,4.729217438396967,5.0,18.0,0.0,10,7.6561904203153865,False,"{""anacardium semecarpus"": 103.53, ""bauhinia vahlii"": 1.989, ""buchanania lanzan"": 163.293, ""cassia fistula"": 49.736, ""cipadessa baccifera"": 27.056, ""emblica officinal"": 80.612, ""holarrhena antidysenterica"": 35.094, ""lantana camara"": 11.539, ""mangifera indica"": 168.545, ""pandaka"": 4.854, ""psidium guajava"": 38.515, ""shrub4 badari"": 6.844, ""syzygium cumini"": 135.998, ""termanalia chebula"": 53.794, ""terminalia bellirica"": 53.794, ""ziziphus oenoplia"": 0.716}",225.0,5.0,2.9989636042098704,14.15323741614433,1472960741.0,5.0,0.8124284802783008,14.009673446322237,312.0,5.0,2.931871705308008,18.643951891570794
18.578716_82.835005,18.578716,82.835005,KORAPUT,SEMILIGUDA,HANDAPUR,,34,18,4.703702819764872,4.883820120537784,5.4,23.0,0.0,6,7.727856681239808,False,"{""anacardium semecarpus"": 90.718, ""buchanania lanzan"": 360.963, ""cipadessa baccifera"": 9.47, ""emblica officinal"": 42.096, ""lantana camara"": 5.889, ""mangifera indica"": 95.891, ""mimosa rubicaulis"": 1.273, ""pandaka"": 8.992, ""shrub4 badari"": 5.173, ""syzygium cumini"": 156.768, ""termanalia chebula"": 122.708, ""ziziphus oenoplia"": 0.318}",229.0,1.0,2.8284510386919774,1.479699978532821,175810572.0,1.0,0.30089921485976706,1.479699978532821,315.0,1.0,26.92614072671071,0.5466377524436442
18.578741_82.834651,18.578741,82.834651,KORAPUT,SEMILIGUDA,HANDAPUR,,17,9,5.431949559647719,5.546181818181817,5.8,38.0,0.0,6,9.867606471697512,False,"{""albizia lebbeck"": 147.218, ""bauhinia variegata"": 183.426, ""bixa orellana"": 62.389, ""holarrhena antidysenterica"": 52.601, ""lantana camara"": 2.865, ""mangifera indica"": 256.637, ""other"": 1.989, ""pongamia pinnata"": 2.865, ""santalum album"": 6.446, ""shrub bhandari"": 5.093, ""syzygium cumini"": 73.609}",225.0,5.0,2.9989636042098704,26.382509029592445,1472960741.0,5.0,0.8124284802783008,15.056065683041103,312.0,5.0,2.931871705308008,27.980051504139087
18.579554_82.833869,18.579554,82.833869,KORAPUT,SEMILIGUDA,HANDAPUR,,13,6,5.234595984571259,5.338807918207527,5.2,23.0,0.0,5,11.671362493405658,False,"{""albizia lebbeck"": 45.837, ""bauhinia vahlii"": 53.794, ""buchanania lanzan"": 5.093, ""emblica officinal"": 45.837, ""gardenia gummifera"": 1.273, ""holarrhena antidysenterica"": 60.877, ""mangifera indica"": 467.04, ""psidium guajava"": 0.716, ""shrub bhandari"": 1.273, ""syzygium cumini"": 114.91, ""termanalia chebula"": 7.958}",218.0,1.0,2.2567479719257695,0.6225872729822006,2119865976.0,1.0,0.20059973004553436,0.6225872729822006,315.0,1.0,26.92614072671071,29.517256102104678
18.586698_82.830332,18.586698,82.830332,KORAPUT,SEMILIGUDA,HATIMUNDA,,5,2,11.420129998030333,11.609756097560975,6.6,43.0,0.0,2,15.756339366097638,False,"{""anacardium semecarpus"": 2.865, ""mangifera indica"": 245.815, ""other"": 1.273, ""syzygium cumini"": 154.062}",203.0,2.0,2.5877410823082276,11.04247274645209,-14877386.0,2.0,0.5115307123521367,11.04247274645209,301.0,2.0,10.535280187081566,11.69081729088126
18.587339_82.828831,18.587339,82.828831,KORAPUT,SEMILIGUDA,HATIMUNDA,,8,6,6.852838263058526,6.877470856563608,7.0,43.0,0.0,5,11.246949311827272,False,"{""albizia lebbeck"": 97.482, ""holarrhena antidysenterica"": 62.389, ""mangifera indica"": 137.669, ""syzygium cumini"": 292.288, ""tree4 nadan"": 42.096, ""xylia xylocarpa"": 0.318}",190.0,3.0,2.1865448793711066,0.386824189816395,587706269.0,3.0,0.7723120543859552,0.386824189816395,303.0,3.0,2.137330190969085,4.394528672858836
18.587424_82.827393,18.587424,82.827393,KORAPUT,SEMILIGUDA,HATIMUNDA,,11,7,4.481149986438838,4.491511154763575,5.0,78.0,0.0,6,9.685715108163917,False,"{""albizia lebbeck"": 276.054, ""bixa orellana"": 2.865, ""buchanania lanzan"": 22.998, ""hadjam"": 22.998, ""holarrhena antidysenterica"": 91.992, ""mangifera indica"": 84.511, ""pterocarpus marsupium"": 81.487, ""santalum album"": 3.899}",174.0,4.0,2.9087135471341106,1.806468035087048,1184514546.0,4.0,0.6820429380368982,1.8064682762422106,289.0,4.0,47.38891859310937,63.380831007080324
18.587441_82.81896,18.587441,82.81896,KORAPUT,SEMILIGUDA,BILAPUT,,58,39,5.595708156672724,5.645561873677231,6.6,28.0,0.0,9,9.85128288779065,False,"{""anacardium semecarpus"": 242.632, ""bauhinia vahlii"": 0.637, ""bixa orellana"": 5.093, ""buchanania lanzan"": 636.859, ""cassia fistula"": 123.584, ""cipadessa baccifera"": 15.995, ""emblica officinal"": 84.193, ""holarrhena antidysenterica"": 100.745, ""lantana camara"": 1.432, ""mangifera indica"": 1004.506, ""syzygium cumini"": 487.81, ""termanalia chebula"": 216.769, ""terminalia bellirica"": 230.536, ""ziziphus oenoplia"": 2.387}",94.0,1.0,2.948858251279505,11.923875058698947,1230023628.0,1.0,0.24072307309112945,11.923875058698947,300.0,1.0,18.43200672736853,117.50852373306357
18.588535_82.82654,18.588535,82.82654,KORAPUT,SEMILIGUDA,HATIMUNDA,,9,4,11.557300678823372,11.593879460109582,9.2,53.0,0.0,3,13.448592691265157,False,"{""bixa orellana"": 0.318, ""grewia eriocarpa"": 0.318, ""hadjam"": 86.66, ""mangifera indica"": 294.357, ""shrub bhandari"": 0.318, ""syzygium cumini"": 215.177, ""ziziphus oenoplia"": 0.716}",158.0,4.0,2.9989882397781207,10.303797993801883,957818897.0,4.0,0.2808413144871287,6.909641798344349,289.0,4.0,47.38891859310937,125.07478097622649
18.58884_82.818969,18.58884,82.818969,KORAPUT,SEMILIGUDA,BILAPUT,,36,18,4.572623109330754,4.71515020531662,5.0,38.0,0.0,7,8.753521870054243,False,"{""albizia lebbeck"": 91.832, ""bauhinia vahlii"": 0.716, ""bixa orellana"": 63.98, ""buchanania lanzan"": 414.917, ""cassia fistula"": 95.891, ""cipadessa baccifera"": 5.57, ""holarrhena antidysenterica"": 5.093, ""lantana camara"": 4.854, ""mangifera indica"": 237.3, ""mimosa rubicaulis"": 5.093, ""syzygium cumini"": 1.989, ""termanalia chebula"": 168.147, ""terminalia bellirica"": 53.794, ""ziziphus oenoplia"": 3.024}",100.0,1.0,2.908735598820819,5.956954551846943,-499987359.0,1.0,0.6018077559162138,5.956954551846943,300.0,1.0,18.43200672736853,100.46837378327794
18.589041_82.818128,18.589041,82.818128,KORAPUT,SEMILIGUDA,BILAPUT,,37,18,4.755907459310616,4.877620425359119,5.2,43.0,0.0,10,10.274335770710131,False,"{""albizia lebbeck"": 86.66, ""anacardium semecarpus"": 97.482, ""bauhinia vahlii"": 1.035, ""bixa orellana"": 60.877, ""buchanania lanzan"": 192.657, ""cassia fistula"": 86.66, ""cipadessa baccifera"": 21.565, ""holarrhena antidysenterica"": 52.044, ""lantana camara"": 10.982, ""mangifera indica"": 211.756, ""syzygium cumini"": 194.965, ""termanalia chebula"": 466.404, ""tree sonda"": 135.282}",100.0,1.0,2.908735598820819,7.306743187589165,-499987359.0,1.0,0.6018077559162138,7.306743187589165,300.0,1.0,18.43200672736853,11.224282985798682
18.589244_82.825077,18.589244,82.825077,KORAPUT,SEMILIGUDA,HATIMUNDA,,8,5,9.460052951253699,9.517376946060699,7.4,68.0,0.0,5,10.631550198538608,False,"{""bixa orellana"": 127.324, ""cassia fistula"": 76.474, ""diospyros melanoxylon"": 35.094, ""emblica officinal"": 0.318, ""mangifera indica"": 232.048, ""psidium guajava"": 0.716, ""syzygium cumini"": 38.993}",161.0,4.0,2.6880556988606084,21.694495483980273,-1204424128.0,4.0,0.742224607830562,21.69449540452942,289.0,4.0,47.38891859310937,24.08117146609834
18.589309_82.825484,18.589309,82.825484,KORAPUT,SEMILIGUDA,HATIMUNDA,,7,4,18.1124634108766,18.308424336973477,11.4,33.0,0.0,4,11.618310845708361,False,"{""albizia lebbeck"": 35.094, ""bombax ceiba"": 296.108, ""holarrhena antidysenterica"": 1.273, ""mangifera indica"": 1.273, ""pongamia pinnata"": 140.375, ""syzygium cumini"": 42.415}",161.0,4.0,2.6880556988606084,25.8777319981301,-1695656650.0,4.0,0.8224649195515243,4.579598314798122,289.0,4.0,47.38891859310937,67.04156509412792
18.589582_82.817618,18.589582,82.817618,KORAPUT,SEMILIGUDA,BILAPUT,,36,19,5.33138416859621,5.4284508400996865,6.0,38.0,0.0,10,11.191105472145905,False,"{""albizia lebbeck"": 153.266, ""anacardium semecarpus"": 97.482, ""bauhinia vahlii"": 3.263, ""buchanania lanzan"": 343.854, ""cassia fistula"": 53.794, ""cipadessa baccifera"": 11.22, ""emblica officinal"": 53.715, ""holarrhena antidysenterica"": 52.919, ""lantana camara"": 8.356, ""mangifera indica"": 734.898, ""shrub4 badari"": 1.273, ""syzygium cumini"": 262.128, ""termanalia chebula"": 148.412, ""terminalia bellirica"": 103.132}",77.0,5.0,2.577746006208779,5.245720268356947,-1310533586.0,5.0,0.1504520839331643,5.245720268356947,291.0,5.0,5.5039875227063355,14.161881045892995
18.589732_82.827324,18.589732,82.827324,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,10,10.785652933684801,10.749123484668411,23.2,13.0,0.0,6,26.101410667070837,False,"{""artocarpus heterophyllus"": 447.623, ""bixa orellana"": 1083.288, ""cipadessa baccifera"": 4.536, ""diospyros ferrea"": 5.252, ""euphorbia nivulia"": 1.989, ""ficus benghalensis"": 1070.317, ""lantana camara"": 1.989, ""manilkara hexandra"": 1.989, ""phoenix acaulis"": 1.273, ""pongamia pinnata"": 1097.055, ""psidium guajava"": 574.947, ""syzygium cumini"": 1083.288}",183.0,2.0,2.5777174029368957,1.68750030898816,-1557660177.0,2.0,1.2136342566754152,1.68750030898816,289.0,4.0,47.38891859310937,0.4969691983108517
18.590069_82.822561,18.590069,82.822561,KORAPUT,SEMILIGUDA,HATIMUNDA,,5,2,20.82926829268293,21.54562326012991,8.2,58.0,0.0,2,11.93662073189215,False,"{""albizia lebbeck"": 5.093, ""emblica officinal"": 1.273, ""gmelina arborea"": 3.899, ""ougeinia oogeinsis"": 42.096, ""syzygium cumini"": 215.177}",128.0,4.0,2.778335703951799,43.574204809135615,2122797404.0,4.0,1.323971992303795,4.165725822133195,289.0,4.0,47.38891859310937,42.96932938008177
18.590157_82.829946,18.590157,82.829946,KORAPUT,SEMILIGUDA,HATIMUNDA,,8,5,5.900139470013946,5.966932725199544,6.0,13.0,0.0,4,8.276057040778557,False,"{""aegle marmelos"": 20.372, ""bixa orellana"": 62.389, ""holarrhena antidysenterica"": 2.865, ""mangifera indica"": 62.389, ""other"": 134.008, ""syzygium cumini"": 1.273, ""termanalia chebula"": 1.989}",183.0,2.0,2.5777174029368957,3.498022108693062,1346144763.0,2.0,0.36108060540560294,3.498022108693062,301.0,2.0,10.535280187081566,23.05870953957331
18.590763_82.817554,18.590763,82.817554,KORAPUT,SEMILIGUDA,BILAPUT,,37,18,5.7665899436628205,5.875073223369816,6.8,28.0,0.0,7,12.99765368583812,False,"{""albizia lebbeck"": 243.507, ""anacardium semecarpus"": 305.896, ""bixa orellana"": 10.345, ""cassia fistula"": 131.223, ""cipadessa baccifera"": 25.624, ""holarrhena antidysenterica"": 56.818, ""mangifera indica"": 982.861, ""mimosa rubicaulis"": 1.989, ""shrub4 badari"": 8.754, ""syzygium cumini"": 654.923, ""termanalia chebula"": 218.042, ""ziziphus oenoplia"": 1.432}",77.0,5.0,2.577746006208779,4.86509585322525,1732040305.0,5.0,0.5115370503213537,2.70215602518581,291.0,5.0,5.5039875227063355,6.022686472032587
18.590785_82.824487,18.590785,82.824487,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,10,11.403761606491146,11.37714538434061,26.2,13.0,0.0,8,24.096058384112954,False,"{""anacardium occidentale"": 447.623, ""artocarpus heterophyllus"": 574.947, ""bombax ceiba"": 1022.571, ""cipadessa baccifera"": 2.865, ""emblica officinal"": 447.623, ""euphorbia nivulia"": 2.308, ""ficus benghalensis"": 895.247, ""indigofera cassioides"": 1.989, ""rauwolfia serpentina"": 1.273, ""santalum album"": 140.375, ""syzygium cumini"": 574.947, ""tamarindus indica"": 574.947, ""woodfordia fruticosa"": 1.273}",166.0,4.0,2.7883545906220126,22.849884691103753,-744819570.0,4.0,0.5917740238367619,22.84988517588562,289.0,4.0,47.38891859310937,92.61189935680457
18.590802_82.814215,18.590802,82.814215,KORAPUT,SEMILIGUDA,BILAPUT,,21,11,6.513483982065109,6.5185731164030924,7.0,28.0,0.0,1,27.345712949425657,False,"{""bixa orellana"": 1.592, ""grewia eriocarpa"": 0.716, ""mangifera indica"": 7341.579, ""pitamari"": 1.751, ""tree simarua"": 1.353, ""ziziphus oenoplia"": 0.716}",38.0,1.0,0.6218707666121258,1.9474200312996492,1411835979.0,1.0,0.6218707666121258,1.9474200312996492,290.0,1.0,15.43380882335731,106.5138549126338
18.590809_82.826211,18.590809,82.826211,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,10,9.86834308966305,9.825872873769024,23.4,13.0,0.0,7,23.55493157760051,False,"{""anacardium occidentale"": 447.623, ""bridelia squamosa/retusa"": 574.947, ""cipadessa baccifera"": 1.273, ""diospyros ferrea"": 4.695, ""diospyros melanoxylon"": 447.623, ""emblica officinal"": 815.669, ""ficus benghalensis"": 447.623, ""holarrhena antidysenterica"": 447.623, ""indigofera cassioides"": 2.546, ""lantana camara"": 1.989, ""manilkara hexandra"": 1.273, ""rauwolfia serpentina"": 1.989, ""syzygium cumini"": 1263.292, ""woodfordia fruticosa"": 0.716}",171.0,2.0,2.698081917911047,15.116263639858342,732191527.0,2.0,0.4914724379958736,8.344591093844596,,,,
18.590818_82.825501,18.590818,82.825501,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,10,8.97775323445882,8.8392382639504,23.8,13.0,0.0,9,23.55493157760051,False,"{""aegle marmelos"": 240.722, ""anacardium semecarpus"": 574.947, ""bridelia squamosa/retusa"": 447.623, ""cipadessa baccifera"": 2.706, ""diospyros ferrea"": 0.318, ""euphorbia nivulia"": 1.273, ""ficus benghalensis"": 574.947, ""holarrhena antidysenterica"": 240.722, ""lantana camara"": 39.232, ""mangifera indica"": 447.623, ""manilkara hexandra"": 0.716, ""mimosa rubicaulis"": 1.273, ""pongamia pinnata"": 574.947, ""psidium guajava"": 815.669, ""rauwolfia serpentina"": 1.273, ""tamarindus indica"": 574.947, ""woodfordia fruticosa"": 0.318}",171.0,2.0,2.698081917911047,1.8899992774711027,732191527.0,2.0,0.4914724379958736,1.8899992774711027,,,,
