system:index,Name,altitudeMo,begin,descriptio,end,extrude,icon,id,tessellate,timestamp,visibility,.geo
00000000000000000000,Adhapalli,,,,,0,,,1,,0,"{""type"":""LinearRing"",""coordinates"":[[85.51749615038732,21.046221220590727],[85.51792422408845,21.045663832959047],[85.51883388070335,21.044410825563027],[85.51911926317077,21.044250297925107],[85.51923074069711,21.043978292760848],[85.51977029192457,21.043064177044887],[85.520140397312,21.04259151233322],[85.52047037078997,21.042823385588004],[85.52103221752272,21.043006208731192],[85.52166540987228,21.043032963337513],[85.52229860222188,21.04330050940072],[85.52261965749773,21.043443200634435],[85.52282923524723,21.043536841756552],[85.52372105545793,21.044000588266115],[85.52500973566237,21.04453122129147],[85.52654366642476,21.044557975897792],[85.52772532820391,21.044464334775668],[85.52855472099986,21.04446879387672],[85.52895158099362,21.04470512623255],[85.52954018233268,21.045654914756938],[85.52903184481258,21.0461855477823],[85.52799733336818,21.04672955811082],[85.52771641000182,21.047166550014058],[85.52724374529015,21.047911219889986],[85.52653474822264,21.04953433267344],[85.52583912845832,21.050568844117837],[85.52476002600338,21.05002929289037],[85.52424722938223,21.049837551545075],[85.52366754624528,21.04966364660399],[85.5224591298598,21.04969931941241],[85.52178134649968,21.049284623014444],[85.52080480336897,21.048950190435434],[85.51983717844037,21.048357129995324],[85.51931992271817,21.048116338538442],[85.51867781216647,21.04789784258682],[85.51834337958746,21.047764069555214],[85.51803570161478,21.04746530978464],[85.51749615038732,21.046221220590727]]}"
00000000000000000001,Kampulei,,,,,0,,,1,,0,"{""type"":""LinearRing"",""coordinates"":[[85.67988323345065,21.04295269951855],[85.68029792984862,21.044317184440903],[85.6808374810761,21.04567275116115],[85.68198347004683,21.04693467675928],[85.6837581922661,21.048820876504884],[85.68527428662426,21.050591139623105],[85.6864113573929,21.05209831577917],[85.68730763670465,21.053748183168945],[85.68760639647522,21.053801692381583],[85.68839119826063,21.053993433726884],[85.68969325576823,21.05366791934998],[85.69108895439798,21.05300351329302],[85.69326499571204,21.051420532419048],[85.69424599794381,21.050747208159972],[85.69613219768941,21.04960121918924],[85.6972157592454,21.048642512462745],[85.6985847032688,21.047318159449876],[85.69901723607099,21.046279188904425],[85.6985847032688,21.045824360596974],[85.6972335956496,21.044076392984024],[85.6961901660031,21.043122145358577],[85.69532510039873,21.042163438632087],[85.69470082625125,21.04159267369725],[85.69341214604681,21.040972858650825],[85.69225277977291,21.040210352370686],[85.69091059035583,21.0393943368779],[85.69053156676628,21.039238268341034],[85.68945246431134,21.03980457417482],[85.68723183198674,21.04095056314555],[85.68674133087087,21.041655101112],[85.68581383785174,21.042341802674233],[85.68486404932736,21.042560298625848],[85.68270138531643,21.042373016381603],[85.6818719925205,21.042591512333217],[85.68035589816232,21.042734203566933],[85.67990106985486,21.042662857950077],[85.67988323345065,21.04295269951855]]}"
00000000000000000002,Balikurma,,,,,0,,,1,,0,"{""type"":""LinearRing"",""coordinates"":[[85.60878732625451,21.02261028051273],[85.6088943446798,21.022427457369535],[85.60907270872194,21.021963710859982],[85.60925553186514,21.02091136301137],[85.60939376399779,21.020202365943874],[85.6092867455725,21.019426482360572],[85.60921539995564,21.018864635627835],[85.60965685095994,21.018927063042586],[85.6108385127391,21.018494530240396],[85.61356302348275,21.017852419688705],[85.61762080544139,21.017143422621206],[85.61980576495758,21.016831285547468],[85.62120146358731,21.016808990042197],[85.62110336336413,21.017571496322336],[85.62096959033252,21.019185690903683],[85.62057273033876,21.020447616501812],[85.62030072517452,21.021705082998885],[85.61986819237234,21.022382866359003],[85.61955605529859,21.023216718256],[85.61952484159121,21.02397030633403],[85.61893624025215,21.025651387431182],[85.61841898452997,21.02723882740621],[85.61824953868992,21.027640146501017],[85.61760742813823,21.027684737511553],[85.61623402501377,21.027466241559935],[85.61422297043866,21.02708721797039],[85.61291199472895,21.027011413252474],[85.61211827474143,21.026859803816667],[85.61155196890765,21.026266743376556],[85.61126658644022,21.025749487654355],[85.61098120397281,21.025383841367976],[85.61046840735166,21.024625794188893],[85.60988426511366,21.023783024089788],[85.60933579568409,21.02322117735705],[85.60885867187139,21.022757430847495],[85.60878732625451,21.02261028051273]]}"
00000000000000000003,Pangatira,,,,,0,,,1,,0,"{""type"":""LinearRing"",""coordinates"":[[85.36204742856316,21.161792201693938],[85.36207418316945,21.16204191135293],[85.3624442885569,21.162251489102438],[85.36306410360332,21.162215816294015],[85.36375972336768,21.16226932550666],[85.36414766515931,21.162322834719298],[85.36442412942463,21.16244323044774],[85.3650484035721,21.16254578977197],[85.36578415524592,21.162550248873025],[85.36637275658498,21.162304998315083],[85.36664922085029,21.162082043262412],[85.36732700421042,21.161150091142243],[85.36759455027362,21.160788903956913],[85.36779966892209,21.16024489362839],[85.36754995926309,21.159995183969396],[85.36818761071373,21.15937536892297],[85.3680761331874,21.158639617249147],[85.36807167408634,21.15805547501115],[85.36815193790531,21.157515923783684],[85.36813856060215,21.157284050528908],[85.36829017003797,21.15678017210987],[85.36789776914526,21.156445739530856],[85.36726011769461,21.156423444025588],[85.36714418106723,21.15554500111806],[85.36710404915775,21.154720067423167],[85.36696581702509,21.154336584732576],[85.36642180669656,21.154274157317833],[85.3656905141238,21.154060120467264],[85.36506623997631,21.153859460919858],[85.36486112132786,21.153823788111428],[85.36470951189204,21.154563998886303],[85.36450439324359,21.155562837522275],[85.36432602920145,21.156592889865617],[85.36424130628143,21.157622942208967],[85.36407631954246,21.15827843006382],[85.36362149123501,21.159000804434484],[85.36313544922018,21.159758851613567],[85.36280547574222,21.160427716771583],[85.36258252068956,21.160869167775875],[85.36219903799895,21.161471146418087],[85.36204742856316,21.161792201693938]]}"
00000000000000000004,Mahabirod,,,,,0,,,1,,0,"{""type"":""LinearRing"",""coordinates"":[[85.38595712841172,21.07936571872099],[85.38625142908124,21.07973582410843],[85.3865234342455,21.080065797586382],[85.3867062573887,21.080324425447483],[85.38681773491503,21.080480493984346],[85.38703177176559,21.08079263105809],[85.38720567670669,21.08106909532341],[85.38733053153618,21.0812519184666],[85.38739295895093,21.081309886780296],[85.38749551827516,21.081412446104522],[85.38762037310465,21.081421364306628],[85.38783886905627,21.08144811891295],[85.38826248365635,21.081492709923484],[85.3884676023048,21.081492709923484],[85.38877973937855,21.08128759127502],[85.38930591330285,21.081171654647637],[85.38980533262084,21.080908567685483],[85.39030029283776,21.080881813079166],[85.39058121620414,21.08079263105809],[85.39106725821897,21.080641021622277],[85.39162464585064,21.0803511800538],[85.39220432898759,21.080047961182167],[85.39263686178978,21.07960205107682],[85.39314519930987,21.07927207759887],[85.3933726134636,21.07888859490827],[85.39364907772891,21.078594294238748],[85.3939478374995,21.078090415819705],[85.39396567390371,21.077689096724896],[85.39381406446789,21.07731899133746],[85.39367137323417,21.076953345051077],[85.39335031795834,21.076409334722555],[85.39290886695403,21.075856406191928],[85.39245403864659,21.075432791591847],[85.39235147932236,21.075174163730747],[85.39192786472228,21.07475054913067],[85.3917628779833,21.074549889583267],[85.39133480428217,21.074255588913736],[85.39082200766103,21.07413965228635],[85.39016651980617,21.074121815882137],[85.38950657285025,21.074041552063175],[85.3891587629681,21.074607857896968],[85.38898931712806,21.07485756755596],[85.38848989781008,21.075383741480266],[85.38811533332158,21.075851947090875],[85.387816573551,21.07623988888253],[85.38731715423302,21.077060363476363],[85.38680881671293,21.077778278745967],[85.38665274817605,21.078001233798634],[85.38646100683076,21.078357961882915],[85.38632723379915,21.078554162329265],[85.38616224706017,21.078763740078774],[85.38608198324121,21.078924267716697],[85.38601955582646,21.07904912254619],[85.38595712841172,21.07936571872099]]}"
00000000000000000005,Kerijoli,,,,,0,,,1,,0,"{""type"":""LinearRing"",""coordinates"":[[85.56285412630297,21.109981906553948],[85.56298344023352,21.110057711271853],[85.56322869079146,21.110209320707675],[85.56330895461042,21.11024053441505],[85.56343380943991,21.110285125425584],[85.56357204157257,21.110454571265613],[85.56365676449259,21.110530375983522],[85.56377270111997,21.11054821238774],[85.56390201505053,21.110570507893005],[85.56401795167791,21.110543753286684],[85.56430779324639,21.11040552115403],[85.56457979841065,21.110209320707675],[85.56480721256438,21.109932856442363],[85.56506584042548,21.1096608512781],[85.56510597233496,21.109625178469678],[85.56527987727604,21.109442355326482],[85.565609850754,21.109170350162227],[85.5658105103014,21.108920640503232],[85.56598441524248,21.108711062753716],[85.56591752872669,21.108394466578922],[85.56587293771615,21.10806003399992],[85.56584172400878,21.107823701644087],[85.56583726490774,21.10763641939984],[85.56591306962564,21.107400087044006],[85.56589077412036,21.107270773113456],[85.56587293771615,21.106931881433397],[85.56602900625302,21.106503807732263],[85.5660111698488,21.106276393578536],[85.56604238355618,21.10604897942481],[85.56596211973722,21.105968715605847],[85.56583280580666,21.105883992685833],[85.56544040491399,21.10583048347319],[85.5648428853728,21.105808187967924],[85.56496328110124,21.106142620546933],[85.56494544469703,21.10662866256176],[85.56479383526121,21.106940799635503],[85.56472694874542,21.10719050929449],[85.56466452133067,21.107377791538738],[85.56445940268222,21.10772114231985],[85.56392876965684,21.10847027129683],[85.56370581460418,21.108925099604278],[85.56325098629672,21.10933979600225],[85.56292993102088,21.109741115097066],[85.56288979911139,21.10982583801708],[85.56287196270718,21.109906101836042],[85.56285412630297,21.109981906553948]]}"
