plot_key,lat6,lon6,district,block,habitation,site_polygon,n_records,n_trees,loreys_h_m,loreys_h_tree_m,h_top5_m,crown_cover_pct,sal_ba_frac,n_species,dbh_mean_cm,no_tree_record,sp_ba_json,v120_merged_id,v120_merged_cluster,v120_merged_area_ha,v120_merged_bdist_m,v120_snic_id,v120_snic_cluster,v120_snic_area_ha,v120_snic_bdist_m,v120_dissolved_id,v120_dissolved_cluster,v120_dissolved_area_ha,v120_dissolved_bdist_m,current_merged_id,current_merged_cluster,current_merged_area_ha,current_merged_bdist_m,current_snic_id,current_snic_cluster,current_snic_area_ha,current_snic_bdist_m,current_dissolved_id,current_dissolved_cluster,current_dissolved_area_ha,current_dissolved_bdist_m
18.578127_82.840014,18.578127,82.840014,KORAPUT,SEMILIGUDA,HANDAPUR,,29,14,4.917462063113924,4.979239901837237,5.2,18.0,0.0,5,11.91388431145045,False,"{""albizia lebbeck"": 184.62, ""anacardium semecarpus"": 290.458, ""bixa orellana"": 5.093, ""cipadessa baccifera"": 10.265, ""holarrhena antidysenterica"": 118.57, ""lantana camara"": 7.082, ""mangifera indica"": 1520.407, ""shrub4 badari"": 1.989, ""syzygium cumini"": 7.082, ""termanalia chebula"": 290.617, ""ziziphus oenoplia"": 2.308}",,,,,,,,,,,,,,,,,,,,,,,,
18.578158_82.833453,18.578158,82.833453,KORAPUT,SEMILIGUDA,HANDAPUR,,34,20,8.106822705771053,8.180962222987718,9.0,48.0,0.0,7,14.164789935178685,False,"{""anacardium semecarpus"": 80.612, ""bauhinia vahlii"": 0.318, ""cassia fistula"": 35.094, ""cipadessa baccifera"": 11.937, ""emblica officinal"": 42.096, ""lantana camara"": 1.989, ""mangifera indica"": 3697.965, ""pandaka"": 22.998, ""shrub4 badari"": 3.899, ""syzygium cumini"": 154.221, ""termanalia chebula"": 71.62, ""terminalia bellirica"": 81.487, ""ziziphus oenoplia"": 1.432}",,,,,,,,,,,,,,,,,,,,,,,,
18.57816_82.833364,18.57816,82.833364,KORAPUT,SEMILIGUDA,HANDAPUR,,15,10,5.72679429872649,5.757739011458868,6.0,23.0,0.0,6,10.313240312354818,False,"{""acacia auriculiformis"": 204.037, ""albizia lebbeck"": 95.573, ""bixa orellana"": 58.012, ""diospyros melanoxylon"": 80.612, ""mangifera indica"": 369.399, ""pterocarpus marsupium"": 0.716, ""schleichera oleosa"": 1.989, ""syzygium cumini"": 133.213}",,,,,,,,,,,,,,,,,,,,,,,,
18.578309_82.834858,18.578309,82.834858,KORAPUT,SEMILIGUDA,HANDAPUR,,34,17,9.87677640153211,9.93207626524604,10.4,38.0,0.0,6,20.259488050050678,False,"{""albizia lebbeck"": 208.811, ""bauhinia vahlii"": 0.716, ""cipadessa baccifera"": 27.375, ""emblica officinal"": 116.183, ""lantana camara"": 2.865, ""mangifera indica"": 7096.958, ""mimosa rubicaulis"": 1.989, ""shrub4 badari"": 9.947, ""syzygium cumini"": 81.487, ""termanalia chebula"": 182.551, ""terminalia bellirica"": 260.775, ""ziziphus oenoplia"": 9.072}",,,,,,,,,,,,,,,,,,,,,,,,
18.578415_82.837159,18.578415,82.837159,KORAPUT,SEMILIGUDA,HANDAPUR,,10,5,5.6859709202219255,5.735658914728683,5.8,28.0,0.0,4,9.803944494460755,False,"{""aegle marmelos"": 0.716, ""anacardium semecarpus"": 42.096, ""diospyros montana"": 86.66, ""emblica officinal"": 28.727, ""grewia eriocarpa"": 2.308, ""hadjam"": 253.136, ""pitamari"": 1.989, ""tree tendka"": 0.318}",,,,,,,,,,,,,,,,,,,,,,,,
18.57855_82.839376,18.57855,82.839376,KORAPUT,SEMILIGUDA,HANDAPUR,,17,9,5.490962228678859,5.605573136427568,6.2,38.0,0.0,6,10.751800599985819,False,"{""albizia lebbeck"": 223.533, ""bauhinia vahlii"": 5.093, ""bixa orellana"": 221.623, ""buchanania lanzan"": 5.093, ""cassia florid"": 35.094, ""cipadessa baccifera"": 5.093, ""other"": 1.273, ""pterocarpus marsupium"": 88.251, ""schleichera oleosa"": 86.58, ""syzygium cumini"": 3.581, ""terminalia bellirica"": 255.285, ""tree tendka"": 0.716}",,,,,,,,,,,,,,,,,,,,,,,,
18.578663_82.834354,18.578663,82.834354,KORAPUT,SEMILIGUDA,HANDAPUR,,35,19,4.539495791174219,4.729217438396967,5.0,18.0,0.0,10,7.6561904203153865,False,"{""anacardium semecarpus"": 103.53, ""bauhinia vahlii"": 1.989, ""buchanania lanzan"": 163.293, ""cassia fistula"": 49.736, ""cipadessa baccifera"": 27.056, ""emblica officinal"": 80.612, ""holarrhena antidysenterica"": 35.094, ""lantana camara"": 11.539, ""mangifera indica"": 168.545, ""pandaka"": 4.854, ""psidium guajava"": 38.515, ""shrub4 badari"": 6.844, ""syzygium cumini"": 135.998, ""termanalia chebula"": 53.794, ""terminalia bellirica"": 53.794, ""ziziphus oenoplia"": 0.716}",,,,,,,,,,,,,,,,,,,,,,,,
18.578716_82.835005,18.578716,82.835005,KORAPUT,SEMILIGUDA,HANDAPUR,,34,18,4.703702819764872,4.883820120537784,5.4,23.0,0.0,6,7.727856681239808,False,"{""anacardium semecarpus"": 90.718, ""buchanania lanzan"": 360.963, ""cipadessa baccifera"": 9.47, ""emblica officinal"": 42.096, ""lantana camara"": 5.889, ""mangifera indica"": 95.891, ""mimosa rubicaulis"": 1.273, ""pandaka"": 8.992, ""shrub4 badari"": 5.173, ""syzygium cumini"": 156.768, ""termanalia chebula"": 122.708, ""ziziphus oenoplia"": 0.318}",,,,,,,,,,,,,,,,,,,,,,,,
18.578741_82.834651,18.578741,82.834651,KORAPUT,SEMILIGUDA,HANDAPUR,,17,9,5.431949559647719,5.546181818181817,5.8,38.0,0.0,6,9.867606471697512,False,"{""albizia lebbeck"": 147.218, ""bauhinia variegata"": 183.426, ""bixa orellana"": 62.389, ""holarrhena antidysenterica"": 52.601, ""lantana camara"": 2.865, ""mangifera indica"": 256.637, ""other"": 1.989, ""pongamia pinnata"": 2.865, ""santalum album"": 6.446, ""shrub bhandari"": 5.093, ""syzygium cumini"": 73.609}",,,,,,,,,,,,,,,,,,,,,,,,
18.579554_82.833869,18.579554,82.833869,KORAPUT,SEMILIGUDA,HANDAPUR,,13,6,5.234595984571259,5.338807918207527,5.2,23.0,0.0,5,11.671362493405658,False,"{""albizia lebbeck"": 45.837, ""bauhinia vahlii"": 53.794, ""buchanania lanzan"": 5.093, ""emblica officinal"": 45.837, ""gardenia gummifera"": 1.273, ""holarrhena antidysenterica"": 60.877, ""mangifera indica"": 467.04, ""psidium guajava"": 0.716, ""shrub bhandari"": 1.273, ""syzygium cumini"": 114.91, ""termanalia chebula"": 7.958}",,,,,,,,,,,,,,,,,,,,,,,,
18.586698_82.830332,18.586698,82.830332,KORAPUT,SEMILIGUDA,HATIMUNDA,,5,2,11.420129998030333,11.609756097560975,6.6,43.0,0.0,2,15.756339366097638,False,"{""anacardium semecarpus"": 2.865, ""mangifera indica"": 245.815, ""other"": 1.273, ""syzygium cumini"": 154.062}",,,,,,,,,,,,,,,,,,,,,,,,
18.587339_82.828831,18.587339,82.828831,KORAPUT,SEMILIGUDA,HATIMUNDA,,8,6,6.852838263058526,6.877470856563608,7.0,43.0,0.0,5,11.246949311827272,False,"{""albizia lebbeck"": 97.482, ""holarrhena antidysenterica"": 62.389, ""mangifera indica"": 137.669, ""syzygium cumini"": 292.288, ""tree4 nadan"": 42.096, ""xylia xylocarpa"": 0.318}",,,,,,,,,,,,,,,,,,,,,,,,
18.587424_82.827393,18.587424,82.827393,KORAPUT,SEMILIGUDA,HATIMUNDA,,11,7,4.481149986438838,4.491511154763575,5.0,78.0,0.0,6,9.685715108163917,False,"{""albizia lebbeck"": 276.054, ""bixa orellana"": 2.865, ""buchanania lanzan"": 22.998, ""hadjam"": 22.998, ""holarrhena antidysenterica"": 91.992, ""mangifera indica"": 84.511, ""pterocarpus marsupium"": 81.487, ""santalum album"": 3.899}",,,,,,,,,,,,,,,,,,,,,,,,
18.587441_82.81896,18.587441,82.81896,KORAPUT,SEMILIGUDA,BILAPUT,,58,39,5.595708156672724,5.645561873677231,6.6,28.0,0.0,9,9.85128288779065,False,"{""anacardium semecarpus"": 242.632, ""bauhinia vahlii"": 0.637, ""bixa orellana"": 5.093, ""buchanania lanzan"": 636.859, ""cassia fistula"": 123.584, ""cipadessa baccifera"": 15.995, ""emblica officinal"": 84.193, ""holarrhena antidysenterica"": 100.745, ""lantana camara"": 1.432, ""mangifera indica"": 1004.506, ""syzygium cumini"": 487.81, ""termanalia chebula"": 216.769, ""terminalia bellirica"": 230.536, ""ziziphus oenoplia"": 2.387}",,,,,,,,,,,,,,,,,,,,,,,,
