plot_key,lat6,lon6,district,block,habitation,site_polygon,n_records,n_trees,loreys_h_m,loreys_h_tree_m,h_top5_m,crown_cover_pct,sal_ba_frac,n_species,dbh_mean_cm,no_tree_record,sp_ba_json,v120_merged_id,v120_merged_cluster,v120_merged_area_ha,v120_merged_bdist_m,v120_snic_id,v120_snic_cluster,v120_snic_area_ha,v120_snic_bdist_m,v120_dissolved_id,v120_dissolved_cluster,v120_dissolved_area_ha,v120_dissolved_bdist_m,current_merged_id,current_merged_cluster,current_merged_area_ha,current_merged_bdist_m,current_snic_id,current_snic_cluster,current_snic_area_ha,current_snic_bdist_m,current_dissolved_id,current_dissolved_cluster,current_dissolved_area_ha,current_dissolved_bdist_m,alphaearth_merged_id,alphaearth_merged_cluster,alphaearth_merged_area_ha,alphaearth_merged_bdist_m,alphaearth_snic_id,alphaearth_snic_cluster,alphaearth_snic_area_ha,alphaearth_snic_bdist_m,alphaearth_dissolved_id,alphaearth_dissolved_cluster,alphaearth_dissolved_area_ha,alphaearth_dissolved_bdist_m
18.577832_82.83856,18.577832,82.83856,KORAPUT,SEMILIGUDA,HANDAPUR,,35,18,4.3921811906816215,4.538355342136855,5.0,23.0,0.0,8,9.584664350645252,False,"{""acacia catechu"": 5.093, ""albizia lebbeck"": 151.038, ""anacardium semecarpus"": 212.074, ""buchanania lanzan"": 303.588, ""cassia fistula"": 49.736, ""cipadessa baccifera"": 26.42, ""emblica officinal"": 53.794, ""lantana camara"": 9.708, ""mangifera indica"": 99.631, ""shrub4 badari"": 3.979, ""syzygium cumini"": 353.165, ""termanalia chebula"": 114.91, ""ziziphus oenoplia"": 0.318}",135.0,2.0,9.14730320866348,58.855798212777046,1053202079.0,2.0,2.918712790129357,52.29027259978814,240.0,2.0,9.126716025793458,55.50242392909081,125.0,2.0,6.589666244810225,27.730015141900296,1053202079.0,2.0,1.9157183618464904,27.730015141900296,252.0,2.0,6.02455794300397,24.95601184429049,138.0,0.0,10.009886991990715,21.4564563554127,1053202079.0,0.0,0.7522457381376991,21.4564563554127,215.0,0.0,9.230751698941306,25.060182217276733
18.578127_82.840014,18.578127,82.840014,KORAPUT,SEMILIGUDA,HANDAPUR,,29,14,4.917462063113924,4.979239901837237,5.2,18.0,0.0,5,11.91388431145045,False,"{""albizia lebbeck"": 184.62, ""anacardium semecarpus"": 290.458, ""bixa orellana"": 5.093, ""cipadessa baccifera"": 10.265, ""holarrhena antidysenterica"": 118.57, ""lantana camara"": 7.082, ""mangifera indica"": 1520.407, ""shrub4 badari"": 1.989, ""syzygium cumini"": 7.082, ""termanalia chebula"": 290.617, ""ziziphus oenoplia"": 2.308}",135.0,2.0,9.14730320866348,69.18096209270584,1562050531.0,2.0,1.7752964814227772,2.766904498532389,240.0,2.0,9.126716025793458,71.59755873250815,125.0,2.0,6.589666244810225,29.73416951179667,235720273.0,2.0,0.8023942858209779,19.50016235737368,252.0,2.0,6.02455794300397,34.40315917266427,138.0,0.0,10.009886991990715,22.995276795484042,235720273.0,0.0,1.3941607345653784,9.125608590515203,215.0,0.0,9.230751698941306,27.127419344651305
18.578158_82.833453,18.578158,82.833453,KORAPUT,SEMILIGUDA,HANDAPUR,,34,20,8.106822705771053,8.180962222987718,9.0,48.0,0.0,7,14.164789935178685,False,"{""anacardium semecarpus"": 80.612, ""bauhinia vahlii"": 0.318, ""cassia fistula"": 35.094, ""cipadessa baccifera"": 11.937, ""emblica officinal"": 42.096, ""lantana camara"": 1.989, ""mangifera indica"": 3697.965, ""pandaka"": 22.998, ""shrub4 badari"": 3.899, ""syzygium cumini"": 154.221, ""termanalia chebula"": 71.62, ""terminalia bellirica"": 81.487, ""ziziphus oenoplia"": 1.432}",120.0,5.0,2.6278599266267393,14.845791062159535,-130109843.0,5.0,1.1735099853175717,14.845791062159535,239.0,5.0,25.696603509601545,226.40602383211976,111.0,5.0,8.806330187372774,27.754461453417925,-130109843.0,5.0,1.6148302006620634,14.845791062159535,253.0,5.0,19.189764550393082,38.692939348215475,127.0,3.0,8.64584624392336,8.28775299576501,2079761871.0,3.0,0.601799588405101,8.28775299576501,214.0,3.0,17.695423878985114,7.404682485678917
18.57816_82.833364,18.57816,82.833364,KORAPUT,SEMILIGUDA,HANDAPUR,,15,10,5.72679429872649,5.757739011458868,6.0,23.0,0.0,6,10.313240312354818,False,"{""acacia auriculiformis"": 204.037, ""albizia lebbeck"": 95.573, ""bixa orellana"": 58.012, ""diospyros melanoxylon"": 80.612, ""mangifera indica"": 369.399, ""pterocarpus marsupium"": 0.716, ""schleichera oleosa"": 1.989, ""syzygium cumini"": 133.213}",120.0,5.0,2.6278599266267393,13.951837930013829,-130109843.0,5.0,1.1735099853175717,13.951837930013829,239.0,5.0,25.696603509601545,234.5292464254235,111.0,5.0,8.806330187372774,21.73648234457879,-130109843.0,5.0,1.6148302006620634,13.951837930013829,253.0,5.0,19.189764550393082,38.52299050788909,126.0,2.0,9.698997859138855,1.1089556509832041,-24294248.0,2.0,0.89266920094827,1.1089556509832041,211.0,2.0,19.435355315328167,1.990257043283907
18.578309_82.834858,18.578309,82.834858,KORAPUT,SEMILIGUDA,HANDAPUR,,34,17,9.87677640153211,9.93207626524604,10.4,38.0,0.0,6,20.259488050050678,False,"{""albizia lebbeck"": 208.811, ""bauhinia vahlii"": 0.716, ""cipadessa baccifera"": 27.375, ""emblica officinal"": 116.183, ""lantana camara"": 2.865, ""mangifera indica"": 7096.958, ""mimosa rubicaulis"": 1.989, ""shrub4 badari"": 9.947, ""syzygium cumini"": 81.487, ""termanalia chebula"": 182.551, ""terminalia bellirica"": 260.775, ""ziziphus oenoplia"": 9.072}",123.0,5.0,7.442245715459571,22.030572863503494,-1717557423.0,5.0,4.603759684670704,22.030572863503494,239.0,5.0,25.696603509601545,87.38879881509415,111.0,5.0,8.806330187372774,45.376198626137736,-1717557423.0,5.0,3.0190239871589277,3.577127730367472,253.0,5.0,19.189764550393082,45.05588653636346,127.0,3.0,8.64584624392336,52.8948309269972,-1248180880.0,3.0,0.6218583901771931,7.349574065491358,214.0,3.0,17.695423878985114,95.19057364423908
18.578415_82.837159,18.578415,82.837159,KORAPUT,SEMILIGUDA,HANDAPUR,,10,5,5.6859709202219255,5.735658914728683,5.8,28.0,0.0,4,9.803944494460755,False,"{""aegle marmelos"": 0.716, ""anacardium semecarpus"": 42.096, ""diospyros montana"": 86.66, ""emblica officinal"": 28.727, ""grewia eriocarpa"": 2.308, ""hadjam"": 253.136, ""pitamari"": 1.989, ""tree tendka"": 0.318}",134.0,1.0,9.267662284416934,32.87281214015568,-568204438.0,1.0,1.1233554856065417,0.8134589049638777,237.0,1.0,9.939979302976827,31.12157470873774,116.0,5.0,7.753156758941712,12.472924148288163,1401095691.0,5.0,2.8886252923853193,12.472924148288163,253.0,5.0,19.189764550393082,14.192924612178322,131.0,3.0,9.327866709294941,45.77788253683783,-568204438.0,3.0,1.494464056124472,0.8134588665866747,214.0,3.0,17.695423878985114,43.94253162919191
18.57855_82.839376,18.57855,82.839376,KORAPUT,SEMILIGUDA,HANDAPUR,,17,9,5.490962228678859,5.605573136427568,6.2,38.0,0.0,6,10.751800599985819,False,"{""albizia lebbeck"": 223.533, ""bauhinia vahlii"": 5.093, ""bixa orellana"": 221.623, ""buchanania lanzan"": 5.093, ""cassia florid"": 35.094, ""cipadessa baccifera"": 5.093, ""other"": 1.273, ""pterocarpus marsupium"": 88.251, ""schleichera oleosa"": 86.58, ""syzygium cumini"": 3.581, ""terminalia bellirica"": 255.285, ""tree tendka"": 0.716}",135.0,2.0,9.14730320866348,11.100993841406677,1053202079.0,2.0,2.918712790129357,11.100993841406677,240.0,2.0,9.126716025793458,15.188548298639956,125.0,2.0,6.589666244810225,41.68435329616519,1053202079.0,2.0,1.9157183618464904,11.100993841406677,252.0,2.0,6.02455794300397,46.639013285320125,138.0,0.0,10.009886991990715,33.050638130439964,155364838.0,0.0,0.7723047320795051,18.899006441847334,215.0,0.0,9.230751698941306,35.23206394952252
18.578663_82.834354,18.578663,82.834354,KORAPUT,SEMILIGUDA,HANDAPUR,,35,19,4.539495791174219,4.729217438396967,5.0,18.0,0.0,10,7.6561904203153865,False,"{""anacardium semecarpus"": 103.53, ""bauhinia vahlii"": 1.989, ""buchanania lanzan"": 163.293, ""cassia fistula"": 49.736, ""cipadessa baccifera"": 27.056, ""emblica officinal"": 80.612, ""holarrhena antidysenterica"": 35.094, ""lantana camara"": 11.539, ""mangifera indica"": 168.545, ""pandaka"": 4.854, ""psidium guajava"": 38.515, ""shrub4 badari"": 6.844, ""syzygium cumini"": 135.998, ""termanalia chebula"": 53.794, ""terminalia bellirica"": 53.794, ""ziziphus oenoplia"": 0.716}",123.0,5.0,7.442245715459571,26.77987483097167,-1717557423.0,5.0,4.603759684670704,26.77987483097167,239.0,5.0,25.696603509601545,134.2384051306553,111.0,5.0,8.806330187372774,33.06703568639485,-1717557423.0,5.0,3.0190239871589277,33.06703568639485,253.0,5.0,19.189764550393082,34.924307299152915,127.0,3.0,8.64584624392336,26.77987483097167,-1717557423.0,3.0,1.0732080746480295,24.17506796922031,214.0,3.0,17.695423878985114,29.491840334134302
18.578716_82.835005,18.578716,82.835005,KORAPUT,SEMILIGUDA,HANDAPUR,,34,18,4.703702819764872,4.883820120537784,5.4,23.0,0.0,6,7.727856681239808,False,"{""anacardium semecarpus"": 90.718, ""buchanania lanzan"": 360.963, ""cipadessa baccifera"": 9.47, ""emblica officinal"": 42.096, ""lantana camara"": 5.889, ""mangifera indica"": 95.891, ""mimosa rubicaulis"": 1.273, ""pandaka"": 8.992, ""shrub4 badari"": 5.173, ""syzygium cumini"": 156.768, ""termanalia chebula"": 122.708, ""ziziphus oenoplia"": 0.318}",123.0,5.0,7.442245715459571,44.639465149989306,-1717557423.0,5.0,4.603759684670704,2.5581102277362913,239.0,5.0,25.696603509601545,65.90931555663398,111.0,5.0,8.806330187372774,36.36311139005679,-1717557423.0,5.0,3.0190239871589277,2.5581102277362913,253.0,5.0,19.189764550393082,36.20659298671666,127.0,3.0,8.64584624392336,61.28714912571577,-1717557423.0,3.0,1.0732080746480295,8.520300516062399,214.0,3.0,17.695423878985114,59.45771889282169
18.578741_82.834651,18.578741,82.834651,KORAPUT,SEMILIGUDA,HANDAPUR,,17,9,5.431949559647719,5.546181818181817,5.8,38.0,0.0,6,9.867606471697512,False,"{""albizia lebbeck"": 147.218, ""bauhinia variegata"": 183.426, ""bixa orellana"": 62.389, ""holarrhena antidysenterica"": 52.601, ""lantana camara"": 2.865, ""mangifera indica"": 256.637, ""other"": 1.989, ""pongamia pinnata"": 2.865, ""santalum album"": 6.446, ""shrub bhandari"": 5.093, ""syzygium cumini"": 73.609}",123.0,5.0,7.442245715459571,48.89484313580849,-1717557423.0,5.0,4.603759684670704,36.25381992417372,239.0,5.0,25.696603509601545,103.37238266531295,111.0,5.0,8.806330187372774,48.89484313580849,-1717557423.0,5.0,3.0190239871589277,36.25381992417372,253.0,5.0,19.189764550393082,44.91642919443714,127.0,3.0,8.64584624392336,54.32068059626471,-1717557423.0,3.0,1.0732080746480295,28.74351810891595,214.0,3.0,17.695423878985114,58.142046045061385
