plot_key,district,habitation,field_type,loreys_h_m,crown_cover_pct,n_trees,n_species,sal_ba_frac
18.596943_82.824312,KORAPUT,HATIMUNDA,0,14.1649067852271,8.0,10,9,0.0
18.59697_82.823822,KORAPUT,HATIMUNDA,4,5.240778237520909,28.0,5,3,0.0
18.597175_82.821483,KORAPUT,HATIMUNDA,2,5.875969267139479,8.0,0,0,0.0
18.59731_82.823396,KORAPUT,HATIMUNDA,2,2.9003229093189127,0.0,2,2,0.0
18.59736_82.822354,KORAPUT,HATIMUNDA,4,5.924412217095144,23.0,4,4,0.0
18.597398_82.824837,KORAPUT,HATIMUNDA,4,6.402404809619238,48.0,3,3,0.0
18.597412_82.823824,KORAPUT,HATIMUNDA,4,7.002101471029719,13.0,9,8,0.0
18.59743_82.823241,KORAPUT,HATIMUNDA,4,6.694858342077649,8.0,9,9,0.0
18.597682_82.819763,KORAPUT,HATIMUNDA,0,4.13753034986337,28.0,10,3,0.0
18.598169_82.819834,KORAPUT,HATIMUNDA,1,23.75418163160595,18.0,4,4,0.0
18.598548_82.821378,KORAPUT,HATIMUNDA,4,6.203328232593728,28.0,4,2,0.0
18.598995_82.819166,KORAPUT,HATIMUNDA,4,4.671417747892793,23.0,5,3,0.0
18.602419_82.818844,KORAPUT,HATIMUNDA,4,4.9410596026490055,18.0,5,3,0.0
18.604711_82.818115,KORAPUT,HATIMUNDA,4,4.728705067128627,18.0,6,2,0.0
18.614284_82.839737,KORAPUT,BARIGUDA,4,8.783990871053632,48.0,12,5,0.0
18.614533_82.839458,KORAPUT,BARIGUDA,4,7.578799169313462,58.0,10,4,0.0
18.615426_82.839528,KORAPUT,BARIGUDA,4,10.696006364359588,58.0,6,5,0.0
18.615788_82.855314,KORAPUT,KONDASRIMUNDA,2,1.2032085561497323,0.0,0,0,0.0
18.615818_82.85548,KORAPUT,KONDASRIMUNDA,2,1.517817109144543,0.0,0,0,0.0
18.615834_82.855468,KORAPUT,KONDASRIMUNDA,2,1.3458937198067638,0.0,0,0,0.0
18.616194_82.856297,KORAPUT,KONDASRIMUNDA,2,1.0003603603603604,0.0,0,0,0.0
18.616558_82.841079,KORAPUT,BARIGUDA,4,8.107583242762573,63.0,9,5,0.0
18.616631_82.839986,KORAPUT,BARIGUDA,4,8.692373238509152,58.0,7,6,0.0
18.616679_82.843587,KORAPUT,BARIGUDA,4,6.534508920526222,68.0,6,4,0.0
18.616705_82.856253,KORAPUT,KONDASRIMUNDA,2,1.1312968299711816,0.0,0,0,0.0
18.616708_82.839955,KORAPUT,BARIGUDA,4,7.521226294585831,53.0,9,3,0.0
