plot_key,district,habitation,site_polygon,crown_cover_pct,meta_chm,habitat,hab_frac,indiasat_has_data,worldcover,lulc_2017,lulc_2018,lulc_2019,lulc_2020,lulc_2021
21.049949_85.690852,DHENKANAL,NUA SAHI,Kampulei,63.0,12,1,1.0,1,10,6,6,6,6,6
21.050477_85.686889,DHENKANAL,NUA SAHI,Kampulei,58.0,10,1,1.0,1,10,6,6,6,6,6
21.052047_85.690007,DHENKANAL,NUA SAHI,Kampulei,83.0,5,1,1.0,1,10,6,6,6,6,6
21.074972_85.389524,DHENKANAL,MAHABIR ROAD,Mahabirod,23.0,6,1,1.0,1,10,6,6,6,6,6
21.075714_85.392354,DHENKANAL,KANKADAHAD,Mahabirod,58.0,4,1,1.0,1,10,6,6,6,6,6
21.076582_85.388847,DHENKANAL,BURUGI BHUIN,Mahabirod,13.0,9,1,1.0,1,10,6,6,6,6,6
21.077312_85.39015,DHENKANAL,BURUGI BHUIN,Mahabirod,8.0,8,1,1.0,1,10,6,6,6,6,6
21.077442_85.388795,DHENKANAL,BURUGI BHUIN,Mahabirod,48.0,13,1,1.0,1,10,6,6,6,6,6
21.077809_85.392112,DHENKANAL,BURUGI BHUIN,Mahabirod,73.0,12,1,1.0,1,10,6,6,6,6,6
21.078879_85.387094,DHENKANAL,BURUGI BHUIN,Mahabirod,78.0,11,1,1.0,1,10,6,6,6,6,6
21.078934_85.390421,DHENKANAL,BURUGI BHUIN,Mahabirod,78.0,8,1,1.0,1,10,6,6,6,6,6
21.079134_85.389512,DHENKANAL,BURUGI BHUIN,Mahabirod,78.0,15,1,1.0,1,10,6,6,6,6,6
21.106127_85.565469,DHENKANAL,BALI SAHI,Kerijoli,23.0,7,1,1.0,1,10,6,6,6,6,6
21.106491_85.565027,DHENKANAL,BALI SAHI,Kerijoli,23.0,3,1,1.0,1,10,6,6,6,6,6
21.107106_85.56567,DHENKANAL,BALI SAHI,Kerijoli,33.0,11,1,1.0,1,10,6,6,6,6,6
21.10777_85.564995,DHENKANAL,BALI SAHI,Kerijoli,33.0,6,1,1.0,1,10,6,6,6,6,6
