section,null,partition,variable,r2_all,k_all,n_all,r2_restricted,k_restricted,n_restricted,observed_vs_null,null_median,null_p5,null_p95,excess,percentile,measure,subset,band,n_same,n_diff,diff,perm_p,beta_same,n_pairs,field_type,statistic,observed,n
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,,Bray-Curtis,both > 30 m from boundary,200-400,70.0,0.0,,,,,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,43.54354354354354,Bray-Curtis,both > 30 m from boundary,400-800,52.0,7.0,-0.07943172530528053,0.7971,,,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,41.64164164164164,Bray-Curtis,both > 30 m from boundary,regression,162.0,,,,0.1040590795703696,169.0,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,,|dLorey| m,all pairs,0-100,14.0,0.0,,,,,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,2.7054108216432864,|dLorey| m,all pairs,100-200,34.0,3.0,-4.275222041897631,0.9667,,,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,4.804804804804805,|dLorey| m,all pairs,200-400,95.0,11.0,-2.9108796119338156,0.9756,,,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,41.24124124124124,|dLorey| m,all pairs,400-800,71.0,21.0,-3.091687288872218,0.996,,,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,5.905905905905906,|dLorey| m,all pairs,regression,214.0,,,,3.0311992422062035,249.0,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,,|dLorey| m,both > 30 m from boundary,0-100,12.0,0.0,,,,,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,,|dLorey| m,both > 30 m from boundary,100-200,28.0,0.0,,,,,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,,|dLorey| m,both > 30 m from boundary,200-400,70.0,0.0,,,,,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,59.65965965965966,|dLorey| m,both > 30 m from boundary,400-800,52.0,7.0,-3.130555635948647,0.9729,,,,,,
6.2,rotation,current / stands_dissolved,,,,,,,,,,,,,30.43043043043043,|dLorey| m,both > 30 m from boundary,regression,162.0,,,,2.9078835817798265,169.0,,,,
